,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,29,2174,24.2,15,1,13,2,2,1,0,0.62,0.04,0.66,0.54,0.58,13.7,12.2,3.0,15.2,0.57,0.12,0.69,0.50,0.63,Matches,e5478b87
25,Sardar Azmoun,ir IRN,FWMF,Leverkusen,26,1995,9,4,359,4.0,1,1,1,0,0,0,0,0.25,0.25,0.50,0.25,0.50,2.7,2.7,0.7,3.4,0.68,0.17,0.85,0.68,0.85,Matches,10549b49
26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,25,19,1822,20.2,1,4,1,0,0,6,0,0.05,0.20,0.25,0.05,0.25,0.7,0.7,2.1,2.7,0.03,0.10,0.14,0.03,0.14,Matches,a8567629
27,Ridle Baku,de GER,DFFW,Wolfsburg,23,1998,34,28,2446,27.2,3,5,3,0,0,4,0,0.11,0.18,0.29,0.11,0.29,2.2,2.2,4.9,7.0,0.08,0.18,0.26,0.08,0.26,Matches,442b56fa
28,Aymen Barkok,ma MAR,MFDF,Eint Frankfurt,23,1998,5,2,160,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.01,0.04,0.02,0.04,Matches,a2a85828
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,31,20,1789,19.9,1,2,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,2.4,2.4,2.7,5.1,0.12,0.14,0.26,0.12,0.26,Matches,00242b75
30,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,24,20,1632,18.1,2,0,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.3,0.3,0.7,1.0,0.01,0.04,0.05,0.01,0.05,Matches,c0d3bd23
31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,8,1,210,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches,8df328f4
32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,26,18,1690,18.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.01,0.00,0.02,0.01,0.02,Matches,44a20f0c
33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33,33,2970,33.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,47064058
34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,25,25,2166,24.1,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.8,1.8,1.0,2.9,0.08,0.04,0.12,0.08,0.12,Matches,bd7d2e6d
35,Julian Baumgartlinger,at AUT,MFFW,Leverkusen,33,1988,6,1,88,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,69374ff5
36,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,21,1999,29,23,1888,21.0,7,2,7,0,0,5,0,0.33,0.10,0.43,0.33,0.43,7.6,7.6,3.6,11.2,0.36,0.17,0.53,0.36,0.53,Matches,437f2b00
37,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,24,1996,14,1,241,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.7,0.7,0.3,1.0,0.27,0.10,0.37,0.27,0.37,Matches,fbbc8e15
38,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,27,1994,28,25,2091,23.2,7,2,7,0,0,0,0,0.30,0.09,0.39,0.30,0.39,9.5,9.5,2.0,11.4,0.41,0.08,0.49,0.41,0.49,Matches,a53b661f
39,Sheraldo Becker,sr SUR,FWMF,Union Berlin,26,1995,28,22,1758,19.5,4,6,4,0,0,4,0,0.20,0.31,0.51,0.20,0.51,3.3,3.3,6.6,9.9,0.17,0.34,0.51,0.17,0.51,Matches,8eb55dbb
40,Kevin Behrens,de GER,FW,Union Berlin,30,1991,24,2,499,5.5,2,2,2,0,0,1,0,0.36,0.36,0.72,0.36,0.72,3.0,3.0,1.7,4.8,0.54,0.31,0.86,0.54,0.86,Matches,30ae134d
41,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,26,17,1636,18.2,5,2,4,1,1,1,0,0.28,0.11,0.39,0.22,0.33,4.3,3.5,2.8,6.2,0.23,0.15,0.39,0.19,0.34,Matches,ff182fdc
42,Stefan Bell,de GER,DF,Mainz 05,29,1991,33,33,2864,31.8,2,0,2,0,0,9,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,1.4,3.4,0.06,0.04,0.11,0.06,0.11,Matches,857a5abe
43,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,22,20,1768,19.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.04,0.00,0.04,0.04,0.04,Matches,a39d11bc
44,Karim Bellarabi,de GER,FWMF,Leverkusen,31,1990,16,9,683,7.6,3,2,3,0,0,2,0,0.40,0.26,0.66,0.40,0.66,2.5,2.5,1.1,3.6,0.33,0.14,0.47,0.33,0.47,Matches,bee0bab1
45,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,32,32,2790,31.0,3,8,3,0,0,9,0,0.10,0.26,0.35,0.10,0.35,5.2,5.2,5.3,10.5,0.17,0.17,0.34,0.17,0.34,Matches,57d88cf9
