,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,4,39,15,38.5,1.17,0.45,0.10,0.27,32.0,12,0,0,1.7,1.7,0.04,+2.3,+2.3,Matches,86e119e0
20,Takuma Asano,jp JPN,FWMF,Bochum,26,1994,17.9,3,33,11,33.3,1.85,0.62,0.09,0.27,16.8,0,0,0,4.4,4.4,0.13,-1.4,-1.4,Matches,13ddc856
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,0,13,1,7.7,0.49,0.04,0.00,0.00,17.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,e26fcca3
22,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,35f67a30
23,Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,0,3,0,0.0,0.34,0.00,0.00,,14.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,dfc85b89
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,15,65,30,46.2,2.69,1.24,0.20,0.43,13.1,0,2,2,13.7,12.2,0.19,+1.3,+0.8,Matches,e5478b87
25,Sardar Azmoun,ir IRN,FWMF,Leverkusen,26,1995,4.0,1,11,4,36.4,2.76,1.00,0.09,0.25,12.7,0,0,0,2.7,2.7,0.25,-1.7,-1.7,Matches,10549b49
26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,20.2,1,9,3,33.3,0.44,0.15,0.11,0.33,20.6,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches,a8567629
27,Ridle Baku,de GER,DFFW,Wolfsburg,23,1998,27.2,3,36,8,22.2,1.32,0.29,0.08,0.38,21.2,0,0,0,2.2,2.2,0.06,+0.8,+0.8,Matches,442b56fa
28,Aymen Barkok,ma MAR,MFDF,Eint Frankfurt,23,1998,1.8,0,2,1,50.0,1.13,0.56,0.00,0.00,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,a2a85828
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,19.9,1,32,10,31.3,1.61,0.50,0.03,0.10,19.5,0,0,0,2.4,2.4,0.08,-1.4,-1.4,Matches,00242b75
30,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,18.1,2,8,4,50.0,0.44,0.22,0.25,0.50,26.1,0,0,0,0.3,0.3,0.03,+1.7,+1.7,Matches,c0d3bd23
31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,2.3,0,1,0,0.0,0.43,0.00,0.00,,25.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,8df328f4
32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,18.8,0,5,1,20.0,0.27,0.05,0.00,0.00,12.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,44a20f0c
33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,47064058
34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,24.1,1,13,5,38.5,0.54,0.21,0.08,0.20,9.9,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches,bd7d2e6d
35,Julian Baumgartlinger,at AUT,MFFW,Leverkusen,33,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,69374ff5
36,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,21,1999,21.0,7,42,17,40.5,2.00,0.81,0.17,0.41,13.5,0,0,0,7.6,7.6,0.18,-0.6,-0.6,Matches,437f2b00
37,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,24,1996,2.7,1,7,3,42.9,2.61,1.12,0.14,0.33,14.2,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches,fbbc8e15
38,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,27,1994,23.2,7,46,14,30.4,1.98,0.60,0.15,0.50,11.8,0,0,0,9.5,9.5,0.21,-2.5,-2.5,Matches,a53b661f
39,Sheraldo Becker,sr SUR,FWMF,Union Berlin,26,1995,19.5,4,37,18,48.6,1.89,0.92,0.11,0.22,20.1,1,0,0,3.3,3.3,0.09,+0.7,+0.7,Matches,8eb55dbb
40,Kevin Behrens,de GER,FW,Union Berlin,30,1991,5.5,2,16,7,43.8,2.89,1.26,0.13,0.29,11.5,0,0,0,3.0,3.0,0.19,-1.0,-1.0,Matches,30ae134d
41,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,18.2,5,31,17,54.8,1.71,0.94,0.13,0.24,13.1,0,1,1,4.3,3.5,0.11,+0.7,+0.5,Matches,ff182fdc
42,Stefan Bell,de GER,DF,Mainz 05,29,1991,31.8,2,22,5,22.7,0.69,0.16,0.09,0.40,10.2,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches,857a5abe
43,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,19.6,0,10,3,30.0,0.51,0.15,0.00,0.00,15.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,a39d11bc
44,Karim Bellarabi,de GER,FWMF,Leverkusen,31,1990,7.6,3,28,11,39.3,3.69,1.45,0.11,0.27,17.4,0,0,0,2.5,2.5,0.09,+0.5,+0.5,Matches,bee0bab1
45,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,31.0,3,44,12,27.3,1.42,0.39,0.07,0.25,18.1,0,0,0,5.2,5.2,0.12,-2.2,-2.2,Matches,57d88cf9
46,George Bello,us USA,DF,Arminia,19,2002,4.8,0,3,0,0.0,0.62,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,aca0a525
47,László Bénes,sk SVK,MF,M'Gladbach,23,1997,2.7,0,7,5,71.4,2.56,1.83,0.00,0.00,22.6,2,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,fe888e39
48,Keanan Bennetts,eng ENG,FWDF,M'Gladbach,22,1999,0.6,0,1,0,0.0,1.80,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,f4c7c708
49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,22.4,4,28,7,25.0,1.25,0.31,0.07,0.29,17.4,1,2,2,4.1,2.5,0.09,-0.1,-0.5,Matches,378825c7
