,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
466,Edmond Tapsoba,bf BFA,DF,Leverkusen,22,1999,20.2,1,6,1,16.7,0.30,0.05,0.17,1.00,9.8,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches,a73c8f95
467,Niklas Tauer,de GER,DFMF,Mainz 05,20,2001,5.4,0,2,2,100.0,0.37,0.37,0.00,0.00,20.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches,27270af4
468,Robert Tesche,de GER,MF,Bochum,34,1987,3.9,0,2,0,0.0,0.52,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,037130ca
469,Cedric Teuchert,de GER,MFFW,Union Berlin,24,1997,1.2,0,3,1,33.3,2.57,0.86,0.00,0.00,14.2,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,f956479d
470,Jan Thielmann,de GER,MFFW,Köln,19,2002,13.2,3,15,6,40.0,1.13,0.45,0.20,0.50,22.9,0,0,0,1.3,1.3,0.09,+1.7,+1.7,Matches,fd53759d
471,Erik Thommy,de GER,FWMF,Stuttgart,26,1994,3.0,0,10,4,40.0,3.28,1.31,0.00,0.00,24.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,df8e7b62
472,Marcus Thuram,fr FRA,FW,M'Gladbach,23,1997,10.9,3,32,11,34.4,2.94,1.01,0.09,0.27,13.1,0,0,0,5.5,5.5,0.17,-2.5,-2.5,Matches,6f8cd6d0
473,Alexis Tibidi,fr FRA,MFFW,Stuttgart,17,2003,4.3,0,4,0,0.0,0.94,0.00,0.00,,12.5,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,ca6f4846
474,Steffen Tigges,de GER,FWMF,Dortmund,23,1998,1.2,3,4,3,75.0,3.21,2.41,0.75,1.00,8.2,0,0,0,1.2,1.2,0.30,+1.8,+1.8,Matches,6b8887c2
475,Malik Tillman,us USA,FWMF,Bayern Munich,19,2002,1.2,0,1,1,100.0,0.87,0.87,0.00,0.00,11.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,a5420709
476,Timothy Tillman,de GER,MF,Greuther Fürth,22,1999,22.3,1,24,8,33.3,1.08,0.36,0.04,0.13,19.1,2,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches,a5bea1fb
477,Umut Tohumcu,de GER,MF,Hoffenheim,16,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e547d3cf
478,Corentin Tolisso,fr FRA,MF,Bayern Munich,26,1994,7.8,2,17,3,17.6,2.18,0.38,0.12,0.67,19.5,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches,652d4c37
479,Tiago Tomás,pt POR,FW,Stuttgart,19,2002,11.9,4,28,15,53.6,2.34,1.26,0.14,0.27,15.1,0,0,0,4.1,4.1,0.15,-0.1,-0.1,Matches,b492126a
480,Jordan Torunarigha,de GER,DF,Hertha BSC,23,1997,5.4,0,2,0,0.0,0.37,0.00,0.00,,8.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches,f86cabbd
481,Almamy Touré,ml MLI,DFMF,Eint Frankfurt,25,1996,5.6,0,6,2,33.3,1.07,0.36,0.00,0.00,13.3,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches,c8c60119
