,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
372,Amos Pieper,de GER,DF,Arminia,23,1998,26.4,14,0.53,9,0,0,2,0,3,0,0.00,0,0,0,0,0,0,Matches,526ea7cc
373,Marvin Plattenhardt,de GER,DF,Hertha BSC,29,1992,18.2,65,3.57,19,40,1,1,2,2,9,0.49,3,5,0,0,1,0,Matches,f7aa75bd
374,Alassane Pléa,fr FRA,MFFW,M'Gladbach,28,1993,23.0,105,4.57,84,1,7,7,5,1,9,0.39,8,0,0,1,0,0,Matches,bc6bd723
375,Joel Pohjanpalo,fi FIN,FW,Leverkusen,26,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ea003d07
376,Sebastian Polter,de GER,FW,Bochum,30,1991,26.0,55,2.12,40,0,2,3,10,0,3,0.12,1,0,0,0,2,0,Matches,3745e8bd
377,Marin Pongračić,hr CRO,DF,Dortmund,23,1997,9.2,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2a6cd437
378,Stefan Posch,at AUT,DF,Hoffenheim,24,1997,24.4,9,0.37,8,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches,7f609bfc
379,Yussuf Poulsen,dk DEN,FWMF,RB Leipzig,27,1994,12.0,30,2.50,20,0,1,3,5,1,6,0.50,4,0,0,0,2,0,Matches,d2416c2e
380,Manuel Prietl,at AUT,MF,Arminia,29,1991,23.6,30,1.27,19,0,6,2,0,3,4,0.17,4,0,0,0,0,0,Matches,901c0f97
381,Grischa Prömel,de GER,MF,Union Berlin,26,1995,26.9,41,1.52,34,0,0,3,3,1,5,0.19,4,0,0,1,0,0,Matches,924f9191
382,Nick Proschwitz,de GER,FW,Hoffenheim,34,1986,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9cf4fd68
383,Afimico Pululu,fr FRA,FWMF,Greuther Fürth,22,1999,0.8,2,2.57,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,32c016f8
384,Sidney Raebiger,de GER,MF,RB Leipzig,16,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a8090a41
385,Diant Ramaj,de GER,GK,Eint Frankfurt,19,2001,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b90c4a43
386,Guilherme Ramos,pt POR,DF,Arminia,23,1997,10.1,4,0.40,4,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,df9c3473
387,Tobias Raschl,de GER,MF,Greuther Fürth,21,2000,6.6,6,0.90,4,1,1,0,0,0,1,0.15,1,0,0,0,0,0,Matches,bd992863
388,David Raum,de GER,DFFW,Hoffenheim,23,1998,30.6,145,4.73,92,41,4,4,2,2,22,0.72,17,2,1,1,0,1,Matches,7d450ed3
389,Reinier,br BRA,FWMF,Dortmund,19,2002,1.8,3,1.67,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,6b21b7b5
390,Panagiotis Retsos,gr GRE,DFFW,Leverkusen,22,1998,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4bd00a50
391,Marco Reus,de GER,MFFW,Dortmund,32,1989,27.8,103,3.70,76,9,1,5,10,2,25,0.90,17,1,1,1,4,1,Matches,36a3ff67
392,Elvis Rexhbeçaj,de GER,MF,Bochum,23,1997,28.2,50,1.77,34,5,1,2,8,0,4,0.14,3,0,0,0,1,0,Matches,1ae836b1
393,Gio Reyna,us USA,MF,Dortmund,18,2002,4.9,20,4.09,12,7,1,0,0,0,1,0.20,0,1,0,0,0,0,Matches,7fa4e703
394,Chris Richards,us USA,DF,Hoffenheim,21,2000,14.5,12,0.83,10,0,0,1,0,1,6,0.41,5,0,0,0,0,1,Matches,0a3d6d2b
395,Chris Richards,us USA,DF,Bayern Munich,21,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0a3d6d2b
396,Omar Richards,eng ENG,DF,Bayern Munich,23,1998,4.9,11,2.26,7,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches,f9b1b7bf
397,Marco Richter,de GER,FWMF,Hertha BSC,23,1997,18.9,47,2.48,25,8,5,4,5,0,2,0.11,1,0,0,0,1,0,Matches,f972644c
398,Manuel Riemann,de GER,GK,Bochum,32,1988,31.0,23,0.74,19,4,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches,9f941969
399,Marc Roca,es ESP,MF,Bayern Munich,24,1996,4.2,9,2.14,6,2,0,1,0,0,1,0.24,1,0,0,0,0,0,Matches,da27e268
400,Cimo Röcker,de GER,DF,Hertha BSC,27,1994,0.2,1,4.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,611b1aae
401,Sebastian Rode,de GER,MF,Eint Frankfurt,30,1990,8.4,32,3.79,28,0,0,2,0,2,1,0.12,1,0,0,0,0,0,Matches,e12b0b5b
402,Romario Rösch,de GER,MF,Mainz 05,22,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,87ebfdb8
403,Tom Rothe,de GER,DF,Dortmund,16,2004,1.0,1,0.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,90c1f9a4
404,Jérôme Roussillon,fr FRA,DF,Wolfsburg,28,1993,19.7,36,1.83,29,2,2,1,1,1,1,0.05,1,0,0,0,0,0,Matches,13203c45
405,Sebastian Rudy,de GER,MF,Hoffenheim,31,1990,8.6,16,1.86,13,1,0,1,1,0,4,0.47,3,0,0,0,1,0,Matches,80f36c88
406,Georginio Rutter,fr FRA,FWMF,Hoffenheim,19,2002,17.9,45,2.51,24,0,9,4,5,3,7,0.39,4,0,3,0,0,0,Matches,c64c01fc
407,Julian Ryerson,no NOR,DF,Union Berlin,23,1997,15.9,36,2.26,26,2,1,5,0,2,3,0.19,2,0,0,1,0,0,Matches,009a4f60
408,Frederik Rønnow,dk DEN,GK,Union Berlin,28,1992,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a70b8345
409,Marcel Sabitzer,at AUT,MFDF,Bayern Munich,27,1994,10.1,27,2.68,23,0,0,2,0,2,2,0.20,2,0,0,0,0,0,Matches,e280527c
410,Marcel Sabitzer,at AUT,MFFW,RB Leipzig,27,1994,0.5,2,3.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e280527c
411,Roland Sallai,hu HUN,MFFW,Freiburg,24,1997,17.2,48,2.78,31,0,1,6,10,0,7,0.41,4,0,0,1,2,0,Matches,bf075f6b
