,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
135,Domen Črnigoj,si SVN,MF,Venezia,25,1995,20.9,3,32,12,37.5,1.53,0.57,0.09,0.25,22.4,0,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches,22cd43d2
136,Giovanni Crociata,it ITA,FW,Empoli,23,1997,0.2,0,1,0,0.0,6.00,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,8c964914
137,Juan Cuadrado,co COL,DFMF,Juventus,33,1988,27.6,4,36,13,36.1,1.30,0.47,0.11,0.31,21.4,5,0,0,2.4,2.4,0.07,+1.6,+1.6,Matches,0ab1f153
138,Mickaël Cuisance,fr FRA,MF,Venezia,21,1999,10.2,0,6,1,16.7,0.59,0.10,0.00,0.00,20.5,2,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,5722eced
139,Patrick Cutrone,it ITA,FW,Empoli,23,1998,15.6,3,50,14,28.0,3.21,0.90,0.06,0.21,15.8,0,0,0,4.4,4.4,0.09,-1.4,-1.4,Matches,a4fe8cda
140,Danilo D'Ambrosio,it ITA,DF,Inter,32,1988,11.1,1,14,3,21.4,1.26,0.27,0.07,0.33,9.5,0,0,0,2.0,2.0,0.14,-1.0,-1.0,Matches,44eb9093
141,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,21,2000,6.4,0,11,2,18.2,1.71,0.31,0.00,0.00,21.2,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,215f3907
142,Danilo,br BRA,DFMF,Juventus,30,1991,21.0,1,13,3,23.1,0.62,0.14,0.08,0.33,21.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,94b2001f
143,Ebrima Darboe,gm GAM,MF,Roma,20,2001,0.7,0,1,0,0.0,1.43,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,cf043a33
144,Matteo Darmian,it ITA,DF,Inter,31,1989,16.7,2,8,4,50.0,0.48,0.24,0.25,0.50,17.1,0,0,0,0.8,0.8,0.10,+1.2,+1.2,Matches,96e0490d
145,Paweł Dawidowicz,pl POL,DF,Hellas Verona,26,1995,13.3,0,6,0,0.0,0.45,0.00,0.00,,9.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,16bb656a
146,Sebastien De Maio,fr FRA,DF,Udinese,34,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,952a03fe
147,Tommaso De Nipoti,it ITA,FW,Atalanta,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f9d956a
148,Mattia De Sciglio,it ITA,DF,Juventus,28,1992,13.0,1,6,2,33.3,0.46,0.15,0.17,0.50,23.7,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,ae4e2852
149,Lorenzo De Silvestri,it ITA,DF,Bologna,33,1988,25.5,3,16,7,43.8,0.63,0.27,0.19,0.43,11.3,0,0,0,1.9,1.9,0.12,+1.1,+1.1,Matches,e74f0e59
150,Grégoire Defrel,mq MTQ,FW,Sassuolo,30,1991,15.1,2,27,10,37.0,1.78,0.66,0.07,0.20,13.8,0,0,0,4.2,4.2,0.16,-2.2,-2.2,Matches,854ee61a
151,Alessandro Deiola,it ITA,MF,Cagliari,25,1995,23.7,4,26,12,46.2,1.10,0.51,0.15,0.33,20.1,0,0,0,3.0,3.0,0.12,+1.0,+1.0,Matches,7f267d66
152,Filippo Delli Carri,it ITA,DF,Salernitana,22,1999,3.7,0,4,2,50.0,1.08,0.54,0.00,0.00,13.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,d2e8fd9b
153,Merih Demiral,tr TUR,DF,Atalanta,23,1998,21.3,1,25,6,24.0,1.17,0.28,0.04,0.17,10.2,0,0,0,3.0,3.0,0.12,-2.0,-2.0,Matches,e3cceee6
154,Diego Demme,de GER,MF,Napoli,29,1991,7.7,1,2,1,50.0,0.26,0.13,0.50,1.00,13.3,0,0,0,0.5,0.5,0.25,+0.5,+0.5,Matches,dc3fa3b5
155,Fabio Depaoli,it ITA,DF,Hellas Verona,24,1997,7.8,1,10,4,40.0,1.28,0.51,0.10,0.25,15.5,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches,d97f2e8d
156,Fabio Depaoli,it ITA,MFDF,Sampdoria,24,1997,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d97f2e8d
157,Mattia Destro,it ITA,FW,Genoa,30,1991,19.4,9,54,20,37.0,2.79,1.03,0.17,0.45,13.7,0,0,0,7.9,7.9,0.15,+1.1,+1.1,Matches,d7d32194
158,Gerard Deulofeu,es ESP,FWMF,Udinese,27,1994,29.1,13,77,33,42.9,2.65,1.14,0.16,0.36,17.8,13,1,1,8.6,7.8,0.10,+4.4,+4.2,Matches,39583cfd
159,Jacopo Dezi,it ITA,MF,Venezia,29,1992,0.2,0,1,0,0.0,5.63,0.00,0.00,,24.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,e921b9db
160,Samuel Di Carmine,it ITA,FW,Hellas Verona,32,1988,0.4,0,1,0,0.0,2.50,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,ef94dc2f
161,Federico Di Francesco,it ITA,FWMF,Empoli,27,1994,15.2,5,26,8,30.8,1.71,0.53,0.19,0.63,18.9,0,0,0,2.4,2.4,0.09,+2.6,+2.6,Matches,1fca9171
162,Giovanni Di Lorenzo,it ITA,DF,Napoli,27,1993,31.9,1,19,4,21.1,0.60,0.13,0.05,0.25,11.9,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches,230a2fac
163,Francesco Di Mariano,it ITA,FW,Venezia,25,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,35a2557c
164,Francesco Di Tacchio,it ITA,MF,Salernitana,31,1990,13.9,0,14,1,7.1,1.00,0.07,0.00,0.00,25.1,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,b5c3ff9f
165,Amadou Diawara,gn GUI,MF,Roma,24,1997,1.9,0,1,0,0.0,0.53,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,bf309d24
166,Brahim Díaz,es ESP,MF,Milan,21,1999,20.6,3,30,6,20.0,1.46,0.29,0.10,0.50,17.0,0,0,0,4.4,4.4,0.15,-1.4,-1.4,Matches,407feb71
167,Mitchell Dijks,nl NED,DFFW,Bologna,28,1993,7.7,0,4,0,0.0,0.52,0.00,0.00,,13.7,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,0a3065c8
168,Federico Dimarco,it ITA,DF,Inter,23,1997,15.9,2,38,18,47.4,2.39,1.13,0.05,0.11,20.1,3,0,1,4.1,3.3,0.09,-2.1,-1.3,Matches,970b8574
169,Filippo Distefano,it ITA,FW,Fiorentina,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2110f96c
170,Koffi Djidji,ci CIV,DF,Torino,28,1992,19.3,0,10,3,30.0,0.52,0.16,0.00,0.00,17.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,933d3b51
171,Berat Djimsiti,al ALB,DF,Atalanta,28,1993,25.1,1,18,3,16.7,0.72,0.12,0.06,0.33,13.6,0,0,0,2.4,2.4,0.13,-1.4,-1.4,Matches,6eee05f1
172,Nicolás Domínguez,ar ARG,MF,Bologna,23,1998,22.4,0,21,3,14.3,0.94,0.13,0.00,0.00,16.3,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches,20b3a502
173,Bartłomiej Drągowski,pl POL,GK,Fiorentina,23,1997,6.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,085e71a7
174,Radu Drăgușin,ro ROU,DF,Sampdoria,19,2002,6.9,0,3,0,0.0,0.44,0.00,0.00,,16.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,620922ed
175,Radu Drăgușin,ro ROU,DF,Salernitana,19,2002,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,620922ed
176,Denzel Dumfries,nl NED,DF,Inter,25,1996,22.5,5,38,17,44.7,1.69,0.75,0.13,0.29,11.3,0,0,0,6.1,6.1,0.16,-1.1,-1.1,Matches,481c9ece
177,Alfred Duncan,gh GHA,MF,Fiorentina,28,1993,21.5,2,11,3,27.3,0.51,0.14,0.18,0.67,18.5,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Matches,528492ea
178,Paulo Dybala,ar ARG,FWMF,Juventus,27,1993,22.9,10,97,36,37.1,4.24,1.57,0.09,0.25,23.0,10,1,2,8.0,6.5,0.07,+2.0,+2.5,Matches,e0921a4f
179,Edin Džeko,ba BIH,FW,Inter,35,1986,27.4,13,87,37,42.5,3.17,1.35,0.15,0.35,11.2,0,0,0,14.9,14.9,0.17,-1.9,-1.9,Matches,3bb7f478
180,Tyronne Ebuehi,ng NGA,DF,Venezia,25,1995,12.6,0,7,1,14.3,0.55,0.08,0.00,0.00,14.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches,6af30900
181,Éderson,br BRA,MF,Salernitana,22,1999,12.7,2,21,9,42.9,1.65,0.71,0.10,0.22,18.9,0,0,0,2.3,2.3,0.11,-0.3,-0.3,Matches,a9202def
182,Albin Ekdal,se SWE,MF,Sampdoria,32,1989,18.2,1,14,2,14.3,0.77,0.11,0.07,0.50,15.2,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,f503ea63
183,Caleb Ekuban,gh GHA,FWMF,Genoa,27,1994,19.1,1,38,7,18.4,1.99,0.37,0.03,0.14,14.7,0,0,0,4.1,4.1,0.11,-3.1,-3.1,Matches,7afbd2c3
184,Elif Elmas,mk MKD,FWMF,Napoli,21,1999,18.0,3,33,11,33.3,1.83,0.61,0.09,0.27,18.3,0,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches,cf007308
185,Martin Erlic,hr CRO,DF,Spezia,23,1998,28.6,2,15,3,20.0,0.52,0.10,0.13,0.67,10.1,0,0,0,2.9,2.9,0.20,-0.9,-0.9,Matches,0fee6bda
186,Gonzalo Escalante,ar ARG,MF,Lazio,28,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3f79a1c8
187,Diego Falcinelli,it ITA,FW,Bologna,30,1991,0.7,0,5,0,0.0,6.82,0.00,0.00,,15.6,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,a39b9ef6
188,Wladimiro Falcone,it ITA,GK,Sampdoria,26,1995,9.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f5a610b
189,Paolo Faragò,it ITA,MF,Cagliari,28,1993,0.2,0,2,1,50.0,11.25,5.63,0.00,0.00,13.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches,9085dd7c
190,Davide Faraoni,it ITA,DF,Hellas Verona,29,1991,28.6,4,30,9,30.0,1.05,0.31,0.13,0.44,14.1,0,0,0,3.2,3.2,0.11,+0.8,+0.8,Matches,aae9d04a
191,Mohamed Fares,dz ALG,DFFW,Genoa,25,1996,6.5,2,13,3,23.1,1.99,0.46,0.15,0.67,14.2,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches,b7a5bc86
192,Diego Farias,br BRA,MFFW,Cagliari,31,1990,0.7,0,1,0,0.0,1.36,0.00,0.00,,23.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,157d29b6
193,Andrea Favilli,it ITA,FW,Genoa,24,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,44510fde
194,Federico Fazio,ar ARG,DF,Salernitana,34,1987,15.9,1,16,3,18.8,1.00,0.19,0.06,0.33,12.5,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches,4e358a2d
195,Luiz Felipe,it ITA,DF,Lazio,24,1997,27.7,0,5,1,20.0,0.18,0.04,0.00,0.00,13.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,15d0c248
196,Alex Ferrari,it ITA,DF,Sampdoria,27,1994,18.3,1,4,1,25.0,0.22,0.05,0.25,1.00,18.5,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches,d0dbca9f
197,Salvador Ferrer,es ESP,DFMF,Spezia,23,1998,16.6,0,6,1,16.7,0.36,0.06,0.00,0.00,24.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,eb76987d
198,Riccardo Fiamozzi,it ITA,DF,Empoli,28,1993,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f9b9269
199,Luca Fiordilino,it ITA,MF,Venezia,25,1996,7.3,0,3,1,33.3,0.41,0.14,0.00,0.00,19.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,9bb1ad91
200,Vincenzo Fiorillo,it ITA,GK,Salernitana,31,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2565f79
201,Alessandro Florenzi,it ITA,DFFW,Milan,30,1991,12.8,2,22,6,27.3,1.72,0.47,0.09,0.33,23.7,2,0,0,0.8,0.8,0.04,+1.2,+1.2,Matches,e288d4b3
202,Fernando Forestieri,it ITA,FWMF,Udinese,31,1990,0.6,2,3,2,66.7,4.66,3.10,0.67,1.00,14.1,1,0,0,1.2,1.2,0.40,+0.8,+0.8,Matches,d60c26fc
203,Francesco Forte,it ITA,FW,Venezia,28,1993,4.7,1,11,2,18.2,2.35,0.43,0.09,0.50,10.5,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches,69e11a01
204,Gianluca Frabotta,it ITA,DFMF,Hellas Verona,22,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d80b1835
205,Davide Frattesi,it ITA,MF,Sassuolo,21,1999,31.7,4,67,20,29.9,2.11,0.63,0.06,0.20,17.3,0,0,0,6.6,6.6,0.10,-2.6,-2.6,Matches,2a7d27c1
206,Morten Frendrup,dk DEN,DFMF,Genoa,20,2001,7.7,0,4,2,50.0,0.52,0.26,0.00,0.00,21.1,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches,f4d60499
207,Remo Freuler,ch SUI,MF,Atalanta,29,1992,26.3,1,20,6,30.0,0.76,0.23,0.05,0.17,21.4,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches,98d2c2c4
208,Matteo Gabbia,it ITA,DF,Milan,21,1999,6.0,0,1,0,0.0,0.17,0.00,0.00,,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,c235e803
209,Manolo Gabbiadini,it ITA,FWMF,Sampdoria,29,1991,12.7,6,44,20,45.5,3.47,1.58,0.14,0.30,19.3,3,0,0,4.5,4.5,0.10,+1.5,+1.5,Matches,8f866fe8
210,Gianluca Gaetano,it ITA,MF,Napoli,21,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3b387cc7
211,Luca Gagliano,it ITA,FWDF,Cagliari,21,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1d00a56c
212,Roberto Gagliardini,it ITA,MF,Inter,27,1994,7.2,2,8,4,50.0,1.11,0.55,0.25,0.50,17.7,0,0,0,1.0,1.0,0.13,+1.0,+1.0,Matches,ce30bfc8
213,Riccardo Gagliolo,se SWE,DF,Salernitana,31,1990,12.6,0,8,1,12.5,0.63,0.08,0.00,0.00,18.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,173061c0
214,Nicolas Galazzi,it ITA,MF,Venezia,20,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a796492f
215,Pablo Galdames Millán,cl CHI,MF,Genoa,24,1996,11.4,0,12,3,25.0,1.05,0.26,0.00,0.00,23.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,dd403465
216,Luca Gemello,it ITA,GK,Torino,21,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,53e494ec
217,Paolo Ghiglione,it ITA,DF,Genoa,24,1997,6.7,0,8,4,50.0,1.19,0.60,0.00,0.00,18.6,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches,71dc23da
218,Faouzi Ghoulam,dz ALG,DF,Napoli,30,1991,3.7,0,3,1,33.3,0.81,0.27,0.00,0.00,28.2,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,c5adc293
219,Sebastian Giovinco,it ITA,MF,Sampdoria,34,1987,0.4,0,1,0,0.0,2.31,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,2b7c18ae
220,Olivier Giroud,fr FRA,FW,Milan,34,1986,21.0,11,61,22,36.1,2.90,1.05,0.15,0.41,11.9,2,2,2,11.6,10.0,0.16,-0.6,-1.0,Matches,16ceb862
221,Diego Godín,uy URU,DF,Cagliari,35,1986,9.1,0,7,0,0.0,0.77,0.00,0.00,,11.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,fc4f85b1
222,Edoardo Goldaniga,it ITA,DF,Cagliari,27,1993,10.4,0,5,1,20.0,0.48,0.10,0.00,0.00,15.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,4b029b31
223,Edoardo Goldaniga,it ITA,DFMF,Sassuolo,27,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4b029b31
224,Cedric Gondo,ci CIV,FW,Salernitana,24,1996,7.8,1,19,8,42.1,2.45,1.03,0.05,0.13,15.8,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches,ff37d2ef
225,Nicolás González,ar ARG,FW,Fiorentina,23,1998,26.2,7,69,19,27.5,2.63,0.73,0.06,0.21,16.3,0,3,3,10.4,8.0,0.12,-3.4,-4.0,Matches,2374aaca
226,Robin Gosens,de GER,DF,Atalanta,27,1994,5.1,1,15,4,26.7,2.93,0.78,0.07,0.25,13.2,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Matches,2d970560
227,Robin Gosens,de GER,DF,Inter,27,1994,1.9,0,4,1,25.0,2.13,0.53,0.00,0.00,17.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,2d970560
228,Alberto Grassi,it ITA,MF,Cagliari,26,1995,24.2,0,24,2,8.3,0.99,0.08,0.00,0.00,19.8,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches,6cc97b6a
229,Koray Günter,de GER,DF,Hellas Verona,26,1994,26.8,0,6,2,33.3,0.22,0.07,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,f1f1f238
230,Albert Guðmundsson,is ISL,FWMF,Genoa,24,1997,6.7,1,9,1,11.1,1.33,0.15,0.11,1.00,17.6,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches,b79858d5
231,Emmanuel Gyasi,gh GHA,FWMF,Spezia,27,1994,33.7,6,38,13,34.2,1.13,0.39,0.16,0.46,15.0,0,0,0,5.7,5.7,0.15,+0.3,+0.3,Matches,f9758dae
232,Norbert Gyömbér,sk SVK,DF,Salernitana,29,1992,28.5,0,9,2,22.2,0.32,0.07,0.00,0.00,13.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,0be276c6
233,Nicolas Haas,ch SUI,MF,Empoli,25,1996,11.1,0,7,2,28.6,0.63,0.18,0.00,0.00,16.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,fa449bba
234,Samir Handanović,si SVN,GK,Inter,37,1984,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,74419746
235,Ridgeciano Haps,sr SUR,DF,Venezia,28,1993,22.8,1,11,2,18.2,0.48,0.09,0.09,0.50,22.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,c8d7131c
236,Abdou Harroui,nl NED,MF,Sassuolo,23,1998,5.0,0,13,2,15.4,2.59,0.40,0.00,0.00,21.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,65fd099c
237,Hans Hateboer,nl NED,DFMF,Atalanta,27,1994,15.4,0,17,2,11.8,1.10,0.13,0.00,0.00,12.9,0,0,0,1.9,1.9,0.11,-1.9,-1.9,Matches,3b333ac3
238,Silvan Hefti,ch SUI,DF,Genoa,23,1997,14.3,0,5,1,20.0,0.35,0.07,0.00,0.00,16.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,f8342731
239,Liam Henderson,sct SCO,MF,Empoli,25,1996,22.4,2,42,15,35.7,1.87,0.67,0.05,0.13,21.1,2,0,0,3.4,3.4,0.08,-1.4,-1.4,Matches,d7918b13
240,Dalbert Henrique,br BRA,DFMF,Cagliari,27,1993,23.1,0,10,1,10.0,0.43,0.04,0.00,0.00,17.3,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches,f45f9427
241,Matheus Henrique,br BRA,MF,Sassuolo,23,1997,12.0,0,8,0,0.0,0.67,0.00,0.00,,30.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,a2d9f138
242,Thomas Henry,fr FRA,FW,Venezia,26,1994,23.5,9,51,24,47.1,2.17,1.02,0.18,0.38,13.3,0,0,0,7.5,7.5,0.15,+1.5,+1.5,Matches,9ef42479
243,Theo Hernández,fr FRA,DF,Milan,23,1997,30.1,5,40,13,32.5,1.33,0.43,0.10,0.31,24.5,8,1,2,4.8,3.9,0.10,+0.2,+0.1,Matches,d4c9725f
244,Hernani,br BRA,MFFW,Genoa,27,1994,7.6,0,10,4,40.0,1.32,0.53,0.00,0.00,21.9,3,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,6f5ead86
245,Daan Heymans,be BEL,MFFW,Venezia,22,1999,2.8,0,3,1,33.3,1.05,0.35,0.00,0.00,14.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,6d70c771
246,Aaron Hickey,sct SCO,DF,Bologna,19,2002,31.3,5,21,13,61.9,0.67,0.41,0.24,0.38,21.3,0,0,0,1.4,1.4,0.07,+3.6,+3.6,Matches,1780bb4a
247,Martin Hongla,cm CMR,MF,Hellas Verona,23,1998,7.2,1,9,4,44.4,1.24,0.55,0.11,0.25,21.7,0,0,0,1.2,1.2,0.14,-0.2,-0.2,Matches,b85bf253
248,Sydney van Hooijdonk,nl NED,FWMF,Bologna,21,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5b418e15
249,Petko Hristov,bg BUL,DF,Spezia,22,1999,13.9,1,2,1,50.0,0.14,0.07,0.50,1.00,12.3,0,0,0,0.2,0.2,0.11,+0.8,+0.8,Matches,d8800a46
250,Elseid Hysaj,al ALB,DF,Lazio,27,1994,22.5,1,4,2,50.0,0.18,0.09,0.25,0.50,23.6,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches,2f3452eb
251,Roger Ibanez,br BRA,DF,Roma,22,1998,32.1,3,20,5,25.0,0.62,0.16,0.15,0.60,8.9,0,0,0,2.5,2.5,0.13,+0.5,+0.5,Matches,82efe6fa
252,Zlatan Ibrahimović,se SWE,FW,Milan,39,1981,11.3,8,50,18,36.0,4.43,1.59,0.16,0.44,15.2,5,0,1,7.3,6.6,0.13,+0.7,+1.4,Matches,4cde5509
253,Igor,br BRA,DF,Fiorentina,23,1998,24.9,0,7,1,14.3,0.28,0.04,0.00,0.00,12.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,a4e85758
254,Jonathan Ikone,fr FRA,FW,Fiorentina,23,1998,7.2,1,16,6,37.5,2.22,0.83,0.06,0.17,17.9,0,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches,42eaa028
255,Ivan Ilić,rs SRB,MF,Hellas Verona,20,2001,28.1,1,22,5,22.7,0.78,0.18,0.05,0.20,19.3,2,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches,bb376bed
256,Josip Iličić,si SVN,MFFW,Atalanta,33,1988,9.3,3,31,7,22.6,3.32,0.75,0.10,0.43,19.1,1,0,1,3.5,2.8,0.09,-0.5,+0.2,Matches,68252d6d
257,Ciro Immobile,it ITA,FW,Lazio,31,1990,30.1,27,109,50,45.9,3.62,1.66,0.18,0.40,15.4,0,7,9,23.0,15.8,0.15,+4.0,+4.2,Matches,4431aed2
258,Lorenzo Insigne,it ITA,FW,Napoli,30,1991,25.4,11,81,24,29.6,3.18,0.94,0.02,0.08,22.8,12,9,13,15.4,5.7,0.07,-4.4,-3.7,Matches,2f557579
259,Ardian Ismajli,al ALB,DF,Empoli,24,1996,14.1,0,5,1,20.0,0.35,0.07,0.00,0.00,14.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,6b635f5c
260,Armando Izzo,it ITA,DF,Torino,29,1992,5.8,0,5,3,60.0,0.86,0.51,0.00,0.00,8.7,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches,89976232
261,Mato Jajalo,ba BIH,MF,Udinese,33,1988,7.0,0,5,0,0.0,0.72,0.00,0.00,,21.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,8c65eb5f
262,Paweł Jaroszyński,pl POL,DF,Salernitana,26,1994,5.7,0,2,1,50.0,0.35,0.17,0.00,0.00,19.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,958a601f
263,Juan Jesus,br BRA,DF,Napoli,30,1991,14.2,1,4,1,25.0,0.28,0.07,0.25,1.00,10.0,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches,79083382
264,Dennis Johnsen,no NOR,FWMF,Venezia,23,1998,16.1,1,14,5,35.7,0.87,0.31,0.07,0.20,16.5,0,0,0,2.2,2.2,0.14,-1.2,-1.2,Matches,66784dee
265,Kaio Jorge,br BRA,MFFW,Juventus,19,2002,1.3,0,5,1,20.0,3.72,0.74,0.00,0.00,11.9,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches,0cf465f2
266,Flavio Junior Bianchi,it ITA,FWMF,Genoa,21,2000,3.5,1,10,3,30.0,2.87,0.86,0.10,0.33,18.2,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,3ef965c1
267,Hamed Junior Traorè,ci CIV,FWMF,Sassuolo,21,2000,19.7,7,51,22,43.1,2.59,1.12,0.14,0.32,16.4,0,0,0,6.5,6.5,0.13,+0.5,+0.5,Matches,570bb4b9
268,Nikola Kalinić,hr CRO,FW,Hellas Verona,33,1988,4.5,4,13,4,30.8,2.88,0.89,0.31,1.00,9.2,0,0,0,3.3,3.3,0.26,+0.7,+0.7,Matches,d4931a5a
269,Yayah Kallon,sl SLE,FWMF,Genoa,20,2001,7.1,0,11,1,9.1,1.56,0.14,0.00,0.00,17.2,0,0,0,1.5,1.5,0.14,-1.5,-1.5,Matches,f95f49d2
270,Pierre Kalulu,fr FRA,DF,Milan,21,2000,21.6,1,5,2,40.0,0.23,0.09,0.20,0.50,21.8,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,85f7d1be
271,Dimitrije Kamenović,rs SRB,DF,Lazio,21,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,3.9,0,0,0,0.6,0.6,0.63,-0.6,-0.6,Matches,d3e0c826
