,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
89,Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,1,7,1,14.3,0.76,0.11,0.14,1.00,19.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,e94d79e3
90,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,1,12,3,25.0,3.80,0.95,0.08,0.33,14.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches,93b891d1
91,Felipe Caicedo,ec ECU,FWDF,Inter,32,1988,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,93b891d1
92,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,2,36,8,22.2,1.53,0.34,0.06,0.25,20.6,0,0,0,3.9,3.9,0.12,-1.9,-1.9,Matches,2146785a
93,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,0,1,0,0.0,1.10,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,aded8e6f
94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,aded8e6f
95,Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,1,16,7,43.8,0.53,0.23,0.06,0.14,14.5,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches,ac7e640b
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,7,62,15,24.2,2.25,0.54,0.06,0.27,24.3,9,3,3,6.5,4.0,0.06,+0.5,0.0,Matches,cd0fa27b
97,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,1,17,5,29.4,1.18,0.35,0.06,0.20,14.8,1,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches,78841da9
98,Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,1,13,5,38.5,0.65,0.25,0.08,0.20,21.1,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches,247ed022
99,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,19,2002,2.5,1,4,1,25.0,1.59,0.40,0.25,1.00,20.4,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,b6a1cdf9
100,Antonio Candreva,it ITA,MFFW,Sampdoria,34,1987,34.7,7,72,19,26.4,2.08,0.55,0.08,0.32,21.9,4,1,2,7.0,5.4,0.08,0.0,+0.6,Matches,356c9002
101,Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,07ea0ef2
102,Gianluca Caprari,it ITA,MFFW,Hellas Verona,28,1993,30.4,12,65,26,40.0,2.14,0.85,0.15,0.38,18.8,4,2,2,8.1,6.5,0.10,+3.9,+3.5,Matches,54e53b7e
103,Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,11,53,28,52.8,1.71,0.90,0.21,0.39,13.1,0,0,1,10.4,9.4,0.18,+0.6,+1.6,Matches,5bd72174
104,Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,0,4,0,0.0,2.31,0.00,0.00,,12.3,0,0,0,0.8,0.8,0.20,-0.8,-0.8,Matches,5bd72174
