,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,54,49,54,0,0,0,54,0,0,,0,0,22,0,Matches,0acda699
42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,2194,29,342,1132,756,90,2194,37,64,57.8,56,38,1690,140,Matches,6928979a
43,Musa Barrow,gm GAM,FWMF,Bologna,22,1998,23.7,1179,6,116,493,588,78,1179,31,63,49.2,63,52,908,139,Matches,e5bf73f3
44,Daniele Baselli,it ITA,MFFW,Torino,29,1992,1.7,101,4,24,45,33,3,101,1,2,50.0,3,0,61,6,Matches,ea06dd97
45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,188,5,40,86,64,2,188,4,9,44.4,5,8,106,4,Matches,ea06dd97
46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,563,27,96,328,144,22,563,7,14,50.0,17,6,403,32,Matches,80556f08
47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,2031,240,879,953,218,19,2031,11,19,57.9,21,5,1446,22,Matches,75b86fb3
48,Simone Bastoni,it ITA,MFDF,Spezia,24,1996,25.4,1535,69,406,707,456,28,1535,42,68,61.8,61,32,881,60,Matches,1ac232b8
49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,1753,200,848,746,174,42,1753,5,8,62.5,18,7,976,22,Matches,19e4eab9
50,Valon Behrami,ch SUI,MFFW,Genoa,36,1985,3.5,91,9,20,54,17,3,91,1,1,100.0,6,3,43,3,Matches,d3d758d8
51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,628,561,627,1,0,0,628,0,0,,1,0,179,0,Matches,4f8ce0e1
52,Raoul Bellanova,it ITA,DFFW,Cagliari,21,2000,27.7,1216,69,329,492,415,51,1216,39,73,53.4,42,22,750,58,Matches,e3756e72
53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,543,14,27,231,290,82,540,15,25,60.0,59,28,456,117,Matches,d705ba44
54,Marco Benassi,it ITA,DFMF,Fiorentina,26,1994,1.8,145,6,45,65,37,2,145,1,1,100.0,1,0,97,3,Matches,0000acda
55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,214,9,26,113,78,15,214,1,4,25.0,5,1,144,20,Matches,0000acda
56,Filip Benković,hr CRO,DFFW,Udinese,24,1997,0.1,6,1,3,2,1,1,6,0,0,,0,0,5,0,Matches,305a3820
57,Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,1289,44,228,835,245,12,1289,36,47,76.6,29,26,881,27,Matches,db092d3b
58,Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,885,26,165,575,155,10,885,7,11,63.6,17,13,626,34,Matches,3b8674e6
59,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,32,26,32,0,0,0,32,0,0,,0,0,13,0,Matches,ec1f737d
60,Domenico Berardi,it ITA,FW,Sassuolo,26,1994,31.3,1795,31,185,794,847,114,1789,30,68,44.1,63,43,1321,201,Matches,53a0e358
61,Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,1914,114,682,835,415,30,1914,27,47,57.4,38,17,1065,61,Matches,61b3978f
62,Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,344,288,343,1,0,0,344,0,0,,0,0,118,0,Matches,ee833569
63,Federico Bernardeschi,it ITA,MFFW,Juventus,27,1994,16.4,768,25,134,296,351,45,768,32,61,52.5,35,14,546,63,Matches,ee93c1a9
64,Nicolò Bertola,it ITA,MFDF,Spezia,18,2003,0.4,21,3,15,4,2,0,21,0,0,,1,0,4,0,Matches,04b40c58
65,Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,567,16,104,306,163,13,567,12,16,75.0,8,14,377,20,Matches,88895312
66,Beto,gw GNB,FW,Udinese,23,1998,24.1,703,27,47,346,331,109,703,40,74,54.1,104,54,478,112,Matches,ed5c0319
67,Luis Binks,eng ENG,DF,Bologna,19,2001,7.2,415,65,224,181,14,4,415,2,4,50.0,1,2,228,1,Matches,36e88fbc
68,Cristiano Biraghi,it ITA,DF,Fiorentina,28,1992,35.0,2754,72,826,1113,840,46,2752,12,26,46.2,25,6,1787,70,Matches,9e1577aa
69,Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,571,72,259,277,46,2,571,15,19,78.9,7,2,300,5,Matches,64cd167d
70,Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0.0,3,0,1,1,1,0,3,0,0,,0,0,3,0,Matches,f1d25de7
71,Jeremie Boga,ci CIV,FWMF,Atalanta,24,1997,8.5,522,5,42,179,310,58,522,31,59,52.5,21,18,400,51,Matches,fe012aca
72,Jeremie Boga,ci CIV,FWMF,Sassuolo,24,1997,7.4,350,1,43,161,158,35,350,28,48,58.3,19,7,285,31,Matches,fe012aca
73,Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,178,30,113,60,8,4,178,0,0,,2,0,81,0,Matches,cb678320
74,Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,397,26,92,224,87,7,397,11,17,64.7,11,9,195,8,Matches,c83c203f
75,Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,1407,19,211,735,481,71,1407,30,47,63.8,37,19,1081,73,Matches,d995ed27
76,Federico Bonazzoli,it ITA,FWMF,Salernitana,24,1997,20.7,782,5,65,406,322,56,780,15,30,50.0,60,25,552,71,Matches,bf57eaab
77,Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,830,95,384,400,60,10,830,17,21,81.0,10,4,504,1,Matches,fb77bfef
78,Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,1517,284,847,634,46,23,1514,4,7,57.1,11,1,1045,0,Matches,52ec54d0
79,Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,164,17,64,82,20,0,164,6,10,60.0,6,2,73,1,Matches,0d077b88
80,Edoardo Bove,it ITA,MFDF,Roma,19,2002,0.8,44,0,7,26,11,2,44,1,1,100.0,4,0,29,2,Matches,ae94a6c5
81,Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,1363,10,107,585,692,56,1363,40,70,57.1,51,37,1020,113,Matches,d4a2533d
82,Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,1907,199,948,892,94,52,1907,17,23,73.9,29,8,876,5,Matches,5fd5ed86
83,Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,2901,120,791,1703,430,30,2901,28,37,75.7,40,20,2158,29,Matches,33b8d077
84,Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,18,1,2,11,6,1,18,0,0,,2,1,12,4,Matches,59f2d958
85,Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,689,56,268,364,65,10,689,2,4,50.0,10,5,393,1,Matches,4ae67f27
86,Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,1126,63,335,612,188,18,1126,11,21,52.4,33,15,712,34,Matches,4a0b7f07
87,Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,63,1,7,30,26,10,63,2,4,50.0,9,5,49,9,Matches,e34e086c
88,Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,292,18,91,145,62,1,292,6,17,35.3,6,3,163,7,Matches,dd86e8e4
89,Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,538,34,179,284,82,8,538,1,1,100.0,7,2,280,3,Matches,e94d79e3
90,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,113,4,9,47,57,19,113,1,5,20.0,8,0,81,22,Matches,93b891d1
91,Felipe Caicedo,ec ECU,FWDF,Inter,32,1988,0.3,12,0,0,4,8,1,12,0,0,,1,2,11,5,Matches,93b891d1
92,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,1501,43,418,748,357,28,1501,10,20,50.0,16,6,856,39,Matches,2146785a
