,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
511,Demba Seck,sn SEN,MFFW,Torino,20,2001,6,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.36,0.00,0.36,0.36,0.36,Matches,16463a79
512,Adrian Šemper,hr CRO,GK,Genoa,23,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f02dde20
513,Stefano Sensi,it ITA,MFFW,Sampdoria,25,1995,11,10,754,8.4,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.2,1.2,1.3,2.5,0.15,0.15,0.30,0.15,0.30,Matches,b70bde8f
514,Stefano Sensi,it ITA,MFFW,Inter,25,1995,9,1,167,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.23,0.21,0.45,0.23,0.45,Matches,b70bde8f
515,Luigi Sepe,it ITA,GK,Salernitana,30,1991,16,16,1392,15.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,343f753a
516,Laurens Serpe,it ITA,DF,Genoa,20,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,79d60e74
517,Stephan El Shaarawy,it ITA,FWDF,Roma,28,1992,27,8,1055,11.7,3,0,3,0,0,1,0,0.26,0.00,0.26,0.26,0.26,3.6,3.6,3.3,6.9,0.30,0.28,0.59,0.30,0.59,Matches,d3aaad90
518,Aimar Sher,se SWE,MF,Spezia,18,2002,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ef301f96
519,Eldor Shomurodov,uz UZB,FWMF,Roma,26,1995,28,5,784,8.7,3,4,3,0,0,2,0,0.34,0.46,0.80,0.34,0.80,4.6,4.6,2.8,7.5,0.53,0.33,0.86,0.53,0.86,Matches,57469b2d
520,Alassane Sidibe,ci CIV,MF,Atalanta,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f944979d
