,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
568,Sandro Tonali,it ITA,MF,Milan,21,2000,36,31,2600,28.9,5,2,5,0,0,9,0,0.17,0.07,0.24,0.17,0.24,4.3,4.3,4.5,8.8,0.15,0.15,0.30,0.15,0.30,Matches,0db169ae
569,Lorenzo Tonelli,it ITA,DF,Empoli,31,1990,14,8,870,9.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.06,0.03,0.09,0.06,0.09,Matches,8cc29864
570,Ernesto Torregrossa,it ITA,FW,Sampdoria,29,1992,10,0,116,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches,bf39bdec
571,Lucas Torreira,uy URU,MF,Fiorentina,25,1996,31,26,2195,24.4,5,1,5,0,0,10,1,0.21,0.04,0.25,0.21,0.25,5.3,5.1,2.3,7.4,0.22,0.09,0.31,0.21,0.30,Matches,52611641
572,Abdoulaye Touré,fr FRA,MF,Genoa,27,1994,8,6,430,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.04,0.01,0.05,0.04,0.05,Matches,ef7cd87a
573,Simone Trimboli,it ITA,MF,Sampdoria,19,2002,5,0,65,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.42,0.42,0.00,0.42,Matches,f5f21026
574,Axel Tuanzebe,eng ENG,DF,Napoli,23,1997,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2baec6ce
575,Iyenoma Udogie,it ITA,DF,Udinese,18,2002,35,29,2477,27.5,5,3,5,0,0,4,0,0.18,0.11,0.29,0.18,0.29,4.3,4.3,2.6,6.9,0.16,0.10,0.25,0.16,0.25,Matches,7cd520e8
576,Maximilian Ullmann,at AUT,DF,Venezia,25,1996,5,2,246,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,caaf2ed1
577,Kacper Urbanski,pl POL,MF,Bologna,16,2004,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2d9d9e42
578,Antonio Vacca,it ITA,MF,Venezia,31,1990,21,15,1064,11.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches,444c89d9
579,Zinho Vanheusden,be BEL,DF,Genoa,22,1999,14,11,989,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,afbf187b
580,Johan Vásquez,mx MEX,DF,Genoa,22,1998,28,27,2279,25.3,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.1,1.3,0.04,0.01,0.05,0.04,0.05,Matches,5eaed77a
581,Denis Vavro,sk SVK,DF,Lazio,25,1996,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,08990838
582,Matías Vecino,uy URU,MF,Inter,29,1991,17,2,377,4.2,1,0,1,0,0,2,0,0.24,0.00,0.24,0.24,0.24,1.5,1.5,0.9,2.3,0.36,0.21,0.57,0.36,0.57,Matches,44ac04e9
583,Miguel Veloso,pt POR,MF,Hellas Verona,35,1986,22,17,1343,14.9,0,3,0,0,0,7,1,0.00,0.20,0.20,0.00,0.20,0.7,0.7,2.2,2.8,0.05,0.15,0.19,0.05,0.19,Matches,ab1ca213
584,Lorenzo Venuti,it ITA,DF,Fiorentina,26,1995,23,20,1571,17.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.02,0.02,0.04,0.02,0.04,Matches,983ff2c7
585,Daniele Verde,it ITA,FWMF,Spezia,25,1996,33,21,1957,21.7,8,6,7,1,2,2,0,0.37,0.28,0.64,0.32,0.60,6.1,4.5,4.5,8.9,0.28,0.21,0.48,0.21,0.41,Matches,d3298c99
586,Simone Verdi,it ITA,MFFW,Torino,29,1992,3,0,46,0.5,1,0,1,0,0,0,0,1.96,0.00,1.96,1.96,1.96,0.2,0.2,0.0,0.2,0.35,0.09,0.44,0.35,0.44,Matches,0375723e
587,Simone Verdi,it ITA,FWMF,Salernitana,29,1992,15,11,829,9.2,5,0,4,1,1,3,0,0.54,0.00,0.54,0.43,0.43,3.7,2.9,1.7,4.5,0.40,0.18,0.58,0.31,0.49,Matches,0375723e
588,Jordan Veretout,fr FRA,MF,Roma,28,1993,36,26,2319,25.8,4,8,3,1,2,6,0,0.16,0.31,0.47,0.12,0.43,4.9,3.3,6.4,9.7,0.19,0.25,0.44,0.13,0.38,Matches,4a56052c
589,Edoardo Vergani,it ITA,FWMF,Salernitana,20,2001,6,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2873973b
590,Valerio Verre,it ITA,MFFW,Sampdoria,27,1994,11,6,420,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,1.3,0.23,0.06,0.29,0.23,0.29,Matches,33ecf462
591,Valerio Verre,it ITA,MF,Empoli,27,1994,8,4,310,3.4,0,1,0,0,0,2,1,0.00,0.29,0.29,0.00,0.29,0.5,0.5,0.5,1.1,0.16,0.15,0.31,0.16,0.31,Matches,33ecf462
592,Freddie Veseli,al ALB,DF,Salernitana,28,1992,9,8,596,6.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,d541e703
593,Guglielmo Vicario,it ITA,GK,Empoli,24,1996,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,77d6fd4d
594,Arturo Vidal,cl CHI,MF,Inter,34,1987,28,2,741,8.2,1,1,1,0,0,3,0,0.12,0.12,0.24,0.12,0.24,2.3,2.3,2.0,4.3,0.28,0.24,0.52,0.28,0.52,Matches,67cdbc0e
595,Ronaldo Vieira,gw GNB,MF,Sampdoria,23,1998,14,4,495,5.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,75e60d75
596,Luca Vignali,it ITA,DFMF,Spezia,25,1996,2,1,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c1e8e74e
597,Emanuel Vignato,it ITA,MFDF,Bologna,20,2000,24,3,594,6.6,0,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,2.1,2.4,0.04,0.31,0.36,0.04,0.36,Matches,ec5dae45
598,Matías Viña,uy URU,DFFW,Roma,23,1997,26,18,1565,17.4,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,1.3,2.1,0.05,0.07,0.12,0.05,0.12,Matches,08eb3b58
599,Nicolas Viola,it ITA,MF,Bologna,31,1989,6,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,45392b06
600,Mattia Viti,it ITA,DF,Empoli,19,2002,20,16,1491,16.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.6,0.03,0.00,0.04,0.03,0.04,Matches,75438a9a
601,Dušan Vlahović,rs SRB,FW,Fiorentina,21,2000,21,21,1857,20.6,17,2,12,5,6,2,0,0.82,0.10,0.92,0.58,0.68,13.5,8.8,2.1,10.8,0.65,0.10,0.75,0.43,0.52,Matches,79443529
602,Dušan Vlahović,rs SRB,FW,Juventus,21,2000,15,12,1076,12.0,7,1,7,0,0,2,0,0.59,0.08,0.67,0.59,0.67,5.7,5.7,0.9,6.6,0.48,0.08,0.56,0.48,0.56,Matches,79443529
603,Mërgim Vojvoda,xk KVX,DF,Torino,26,1995,29,22,1976,22.0,0,3,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,1.5,1.5,2.4,3.9,0.07,0.11,0.18,0.07,0.18,Matches,be2706c0
604,Cristian Volpato,it ITA,FWMF,Roma,17,2003,3,0,38,0.4,1,0,1,0,0,0,0,2.37,0.00,2.37,2.37,2.37,0.1,0.1,0.1,0.2,0.28,0.13,0.41,0.28,0.41,Matches,72f87f25
605,Stefan de Vrij,nl NED,DF,Inter,29,1992,30,28,2410,26.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,2.9,2.9,0.0,2.9,0.11,0.00,0.11,0.11,0.11,Matches,d0d8dd44
606,Walace,br BRA,MF,Udinese,26,1995,36,33,2970,33.0,1,0,1,0,0,6,1,0.03,0.00,0.03,0.03,0.03,2.0,2.0,2.2,4.2,0.06,0.07,0.13,0.06,0.13,Matches,26db8853
607,Sebastian Walukiewicz,pl POL,DF,Cagliari,21,2000,7,4,302,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.01,0.09,0.09,0.09,Matches,217875a4
608,Magnus Warming,dk DEN,MFFW,Torino,21,2000,4,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,55e098cd
609,Kelvin Yeboah,it ITA,FWMF,Genoa,21,2000,17,9,850,9.4,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.5,1.5,1.5,3.0,0.16,0.16,0.32,0.16,0.32,Matches,ea0893d6
610,Gerard Yepes,es ESP,MFDF,Sampdoria,18,2002,4,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ee9040b4
611,Maya Yoshida,jp JPN,DF,Sampdoria,32,1988,26,19,1823,20.3,2,3,2,0,0,2,0,0.10,0.15,0.25,0.10,0.25,1.2,1.2,1.4,2.6,0.06,0.07,0.13,0.06,0.13,Matches,caffaf5a
612,Mattia Zaccagni,it ITA,MF,Hellas Verona,26,1995,2,2,180,2.0,2,0,1,1,1,0,0,1.00,0.00,1.00,0.50,0.50,1.3,0.5,1.1,1.6,0.65,0.55,1.19,0.25,0.80,Matches,d85c238b
613,Mattia Zaccagni,it ITA,FW,Lazio,26,1995,29,21,1876,20.8,4,5,4,0,0,6,0,0.19,0.24,0.43,0.19,0.43,3.7,3.7,3.2,6.9,0.18,0.15,0.33,0.18,0.33,Matches,d85c238b
614,Denis Zakaria,ch SUI,MF,Juventus,24,1996,9,6,597,6.6,1,1,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30,1.4,1.4,0.3,1.6,0.21,0.04,0.25,0.21,0.25,Matches,384d58d9
615,Nicola Zalewski,pl POL,DF,Roma,19,2002,16,9,793,8.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.1,0.07,0.06,0.13,0.07,0.13,Matches,45191c29
616,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,25,1995,25,21,1926,21.4,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.5,1.5,1.4,3.0,0.07,0.07,0.14,0.07,0.14,Matches,6bb2c084
617,Nicolò Zaniolo,it ITA,FWMF,Roma,22,1999,28,23,1971,21.9,2,1,2,0,0,12,2,0.09,0.05,0.14,0.09,0.14,6.2,6.2,3.6,9.8,0.28,0.16,0.45,0.28,0.45,Matches,9907b1c8
618,Alessandro Zanoli,it ITA,DF,Napoli,20,2000,12,5,457,5.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,3b12b11f
619,Mattia Zanotti,it ITA,DF,Inter,18,2003,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.88,0.88,0.00,0.88,Matches,875d65d1
620,Duván Zapata,co COL,FW,Atalanta,30,1991,24,20,1722,19.1,10,4,7,3,3,3,0,0.52,0.21,0.73,0.37,0.57,15.2,12.8,5.4,18.2,0.79,0.28,1.07,0.67,0.95,Matches,d3de9af0
621,Gabriele Zappa,it ITA,DF,Cagliari,21,1999,25,11,1144,12.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.04,0.06,0.10,0.04,0.10,Matches,ca3db240
622,Davide Zappacosta,it ITA,DF,Atalanta,29,1992,34,29,2345,26.1,1,5,1,0,0,6,0,0.04,0.19,0.23,0.04,0.23,2.8,2.8,4.7,7.5,0.11,0.18,0.29,0.11,0.29,Matches,7fe90ccd
623,Simone Zaza,it ITA,FWDF,Torino,30,1991,10,0,129,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.66,0.00,0.66,0.66,0.66,Matches,9592289a
624,Marvin Zeegelaar,nl NED,DF,Udinese,30,1990,14,6,643,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches,8abd0c03
625,Piotr Zieliński,pl POL,MF,Napoli,27,1994,35,26,2086,23.2,6,5,6,0,0,1,0,0.26,0.22,0.47,0.26,0.47,4.0,4.0,4.7,8.8,0.17,0.20,0.38,0.17,0.38,Matches,a5296e55
626,David Zima,cz CZE,DF,Torino,20,2000,20,13,1314,14.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.6,1.5,0.06,0.04,0.11,0.06,0.11,Matches,acf7e795
627,Jeroen Zoet,nl NED,GK,Spezia,30,1991,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cc1a0c57
628,Nadir Zortea,it ITA,DFMF,Salernitana,22,1999,29,13,1410,15.7,1,2,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,0.8,0.8,1.6,2.4,0.05,0.11,0.16,0.05,0.16,Matches,82598b71
629,Petar Zovko,ba BIH,GK,Spezia,19,2002,1,0,29,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,54f6afe3
630,Szymon Żurkowski,pl POL,MF,Empoli,23,1997,35,29,2307,25.6,6,2,6,0,0,5,0,0.23,0.08,0.31,0.23,0.31,4.6,4.6,1.8,6.4,0.18,0.07,0.25,0.18,0.25,Matches,4e1d5e59
631,Milan Đurić,ba BIH,FW,Salernitana,31,1990,33,23,2165,24.1,5,4,4,1,1,6,0,0.21,0.17,0.37,0.17,0.33,6.4,5.6,3.5,9.1,0.26,0.15,0.41,0.23,0.38,Matches,405f6586
632,Filip Đuričić,rs SRB,MFFW,Sassuolo,29,1992,12,9,671,7.5,2,1,2,0,0,1,0,0.27,0.13,0.40,0.27,0.40,2.1,2.1,1.6,3.7,0.28,0.21,0.49,0.28,0.49,Matches,eccbe56a
