,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
18,Cristian Ansaldi,ar ARG,DF,Torino,34,1986,7.7,28,3.66,21,3,2,2,0,0,5,0.65,4,0,0,1,0,0,Matches,bbafc0c4
19,Janis Antiste,fr FRA,FW,Spezia,18,2002,8.8,15,1.69,12,0,1,1,0,1,1,0.11,0,0,0,0,0,1,Matches,38d9ce53
20,Mattia Aramu,it ITA,MFFW,Venezia,26,1995,23.3,73,3.13,30,22,2,4,15,0,11,0.47,7,1,0,0,3,0,Matches,0847b5a5
21,Marko Arnautović,at AUT,FW,Bologna,32,1989,29.9,89,2.97,71,0,7,9,2,0,7,0.23,5,0,1,1,0,0,Matches,00459419
22,Tolgay Arslan,de GER,MF,Udinese,30,1990,18.4,48,2.60,30,5,1,4,7,1,8,0.43,3,0,0,2,3,0,Matches,963a328b
23,Arthur,br BRA,FW,Fiorentina,23,1998,8.3,17,2.05,10,0,3,1,2,1,5,0.60,3,0,1,1,0,0,Matches,a820e429
24,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,8.4,8,0.95,5,0,2,0,0,1,1,0.12,1,0,0,0,0,0,Matches,a69cc629
25,Kristjan Asllani,al ALB,MF,Empoli,19,2002,15.0,30,2.00,21,3,0,3,2,1,3,0.20,3,0,0,0,0,0,Matches,0fdcef0e
26,Emil Audero,it ITA,GK,Sampdoria,24,1997,28.4,5,0.18,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,649b01d8
27,Tommaso Augello,it ITA,DF,Sampdoria,26,1994,26.6,50,1.88,34,4,5,1,3,3,2,0.08,2,0,0,0,0,0,Matches,3cd3b384
28,Ramzi Aya,it ITA,DF,Salernitana,30,1990,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6a1f66a7
29,Kaan Ayhan,tr TUR,DF,Sassuolo,26,1994,15.0,9,0.60,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,2200181e
30,Milan Badelj,hr CRO,MF,Genoa,32,1989,31.6,74,2.34,64,0,1,1,2,6,2,0.06,0,0,1,0,1,0,Matches,e8c930bb
31,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ad263695
