name,population
Franklin city,127
Fraser city,103
Fredericksburg city,984
Frederika city,205
Fredonia city,215
Fremont city,682
Fruitland city,933
Frytown CDP,49
Galt city,23
Galva city,423
Garber city,77
Garden City CDP,151
Garden Grove city,173
Garnavillo city,758
Garner city,"3,056"
Garrison city,343
Garwin city,474
Geneva city,134
George city,"1,092"
Gibson city,61
Gilbert city,"1,261"
Gilbertville city,786
Gillett Grove city,33
Gilman city,532
Gilmore City city,481
Gladbrook city,786
Glenwood city,"5,136"
Glidden city,"1,154"
Goldfield city,617
Goodell city,140
Goose Lake city,251
Gowrie city,939
Graettinger city,811
Graf city,76
Grafton city,212
Grand Junction city,719
Grand Mound city,617
Grand River city,197
Grandview city,436
Granger city,"1,951"
Grant city,85
Granville city,305
Gravity city,154
Gray city,63
Greeley city,216
Green Mountain CDP,182
Greene city,982
Greenfield city,"2,057"
Greenville city,66
Grimes city,"16,295"
Grinnell city,"9,493"
Griswold city,990
Grundy Center city,"2,801"
Gruver city,61
Guernsey city,61
Guthrie Center city,"1,574"
Guttenberg city,"1,812"
Halbur city,270
Hamburg city,873
Hamilton city,126
Hampton city,"4,295"
Hancock city,201
Hanlontown city,202
Hansell city,82
Harcourt city,256
Hardy city,54
Harlan city,"4,838"
Harper city,119
Harpers Ferry city,262
Harris city,147
Hartford city,726
Hartley city,"1,580"
Hartwick city,90
Harvey city,236
Hastings city,156
Havelock city,129
Haverhill city,163
Hawarden city,"2,662"
Hawkeye city,431
Hayesville city,44
Hayfield CDP,60
Hazleton city,712
Hedrick city,721
Henderson city,140
Hepburn city,23
Hiawatha city,"7,161"
High Amana CDP,71
Hills city,915
Hillsboro city,160
Hinton city,950
Holiday Lake CDP,366
Holland city,266
Holstein city,"1,485"
Holy Cross city,349
Homestead CDP,66
Hopkinton city,624
Hornick city,253
Hospers city,710
Houghton city,136
Hubbard city,844
Hudson city,"2,628"
Hull city,"2,416"
Humboldt city,"4,782"
Humeston city,461
Hutchins CDP,33
Huxley city,"4,558"
Ida Grove city,"2,011"
Imogene city,37
Independence city,"6,179"
Indianola city,"16,069"
Inwood city,950
Ionia city,221
Iowa City city,"75,233"
Iowa Falls city,"4,998"
Ireton city,585
Irvington CDP,46
Irwin city,313
Jackson Junction city,41
Jacksonville CDP,7
Jamaica city,194
Janesville city,"1,050"
Jefferson city,"4,173"
Jesup city,"2,525"
Jewell Junction city,"1,187"
Johnston city,"24,390"
Joice city,205
Jolley city,28
Kalona city,"2,709"
Kamrar city,181
Kanawha city,643
Kellerton city,241
Kelley city,311
Kellogg city,597
Kensett city,256
Kent CDP,0
Kent Estates CDP,"1,944"
Keokuk city,"9,623"
Keomah Village city,109
Keosauqua city,947
Keota city,889
Keswick city,240
Keystone city,603
Kimballton city,285
Kingsley city,"1,395"
Kingston CDP,17
Kinross city,77
Kirkman city,56
Kirkville city,156
Kiron city,262
Klemme city,433
Knierim city,54
Knoxville city,"7,451"
La Motte city,239
La Porte City city,"2,252"
Lacona city,336
Ladora city,226
Lake City city,"1,681"
Lake Mills city,"2,128"
Lake Panorama CDP,882
Lake Park city,"1,173"
Lake View city,"1,118"
Lakeside city,690
Lakota city,261
Lambs Grove city,171
Lamoni city,"1,974"
Lamont city,435
Lanesboro city,116
Lansing city,951
Larchwood city,939
Larrabee city,121
Latimer city,472
Laurel city,217
Laurens city,"1,261"
Lawler city,396
Lawton city,930
Le Claire city,"4,719"
Le Grand city,897
Le Mars city,"10,605"
Le Roy city,9
Leando CDP,21
Ledyard city,119
Lehigh city,393
Leighton city,151
Leland city,249
Lenox city,"1,354"
Leon city,"1,828"
Lester city,305
Letts city,362
Lewis city,361
Libertyville city,276
Lidderdale city,163
Lime Springs city,476
Lincoln city,120
Linden city,201
Lineville city,191
Linn Grove city,156
Lisbon city,"2,208"
Liscomb city,292
Little Cedar CDP,43
Little Rock city,442
Little Sioux city,168
Livermore city,377
Lockridge city,245
Logan city,"1,385"
Lohrville city,367
Lone Rock city,143
Lone Tree city,"1,351"
Long Grove city,839
Lorimor city,376
Lost Nation city,427
Loveland CDP,0
Lovilia city,467
Low Moor city,244
Lowden city,788
Lowell CDP,96
Lu Verne city,249
Luana city,305
Lucas city,175
Luther city,147
Luxemburg city,237
Luzerne city,111
Lynnville city,381
Lytton city,274
