zipcode,median_income
12086,60417
12087,69531
12089,64375
12090,57181
12092,41500
12093,50900
12094,74625
12095,48142
12106,72417
12108,64750
12110,73997
12115,67083
12116,46458
12117,54420
12118,63750
12120,56250
12121,67243
12122,44738
12123,70331
12124,108977
12125,51741
12130,89750
12131,58750
12132,61150
12134,53214
12136,89276
12137,61563
12138,61296
12139,50625
12140,82564
12143,49803
12144,63286
12147,63000
12148,101307
12149,51000
12150,64286
12151,72321
12153,87393
12154,66579
12155,51304
12156,78170
12157,53929
12158,81006
12159,87927
12160,58333
12164,58125
12165,105833
12166,43646
12167,46875
12168,60417
12169,50938
12170,66450
12172,46806
12173,68857
12174,57917
12175,48456
12176,75760
12177,70250
12180,49283
12182,40327
12183,55000
12184,77500
12185,72400
12186,86648
12187,49464
12188,62439
12189,49157
12190,43000
12192,63462
12193,76786
12194,61250
12196,92500
12197,44250
12198,82899
12202,25952
12203,51842
12204,49408
12205,64161
12206,28239
12207,10675
12208,56018
12209,52788
12210,43535
12211,90734
12302,66437
12303,62402
12304,48427
12305,25552
12306,59816
12307,17772
12308,43908
12309,92904
12401,46071
12404,71615
12405,44485
12406,41111
12407,70833
12409,65625
12410,60469
12411,81518
12412,50568
12413,33468
12414,46925
12416,25050
12417,50549
12418,63393
12419,55893
12420,86466
12421,45313
12422,67569
12423,40750
12424,38750
12427,89044
12428,45565
12430,50530
12431,39907
12432,58913
12433,134261
12434,28083
12435,34205
12438,101250
12439,37188
12440,51375
12441,116500
12442,28472
12443,76897
12444,38229
12446,57373
12448,61648
12449,37951
12451,60974
12452,41538
12453,34434
12454,73750
12455,40439
12456,47656
12458,43393
12459,40195
12460,52014
12461,63445
12463,51197
12464,47778
12465,71875
12466,67616
12468,41776
12469,44643
12470,51731
12471,46250
12472,56250
12473,73622
12474,41538
12477,58843
12480,41406
12481,54467
12482,34222
12483,35865
12484,79327
12485,51382
12486,74922
12487,71736
12489,67868
12491,57917
12492,50139
12493,85547
12494,59844
12495,82857
12496,50435
12498,67229
12501,64485
12502,72250
12503,63472
12504,68125
12507,66538
12508,68965
12513,67917
12514,89306
12515,55536
12516,52847
12517,60469
12518,76143
12520,89417
12521,68958
12522,53156
12523,64643
12524,75789
12525,74038
12526,64853
12528,62583
12529,62143
12530,16821
12531,81686
12533,101781
12534,45263
12538,72500
12540,102270
12542,64874
12543,59310
12545,67596
12546,61389
12547,69537
12548,56625
12549,83352
12550,56222
12553,70279
12561,66911
12563,83811
12564,81429
12565,41875
12566,79424
12567,64405
12569,73324
12570,100161
12571,69217
12572,69901
12574,85750
12575,120833
12577,77750
12578,79798
12580,72589
12581,74688
12582,94600
12583,58938
12585,115357
12586,68810
12589,81609
12590,80188
12592,60543
12594,66445
12601,40508
12603,75569
12701,32403
12719,51607
12720,78690
12721,58849
12723,54375
12724,60848
12725,43750
12726,59583
12729,51542
12732,40568
12733,44286
12734,62632
12736,35938
12737,65500
12738,75600
12740,59198
12741,30000
12742,40781
12743,51354
12745,64375
12746,83221
12747,62576
12748,59107
12749,46313
12750,74792
12751,49531
12752,50781
12754,39598
12758,53147
12759,25700
12760,50962
12762,39762
12763,58144
12764,51053
12765,68177
12766,70227
12767,111875
12768,41983
12770,49688
12771,46446
12775,89167
12776,57422
12777,73750
12779,37992
12780,36490
12781,58036
12783,59394
12785,48147
12786,44201
12787,58365
12788,40139
12789,50114
12790,48951
12791,58380
12792,36563
12801,45395
12803,59438
12804,63120
12808,76458
12809,58125
12810,57500
12812,49583
12814,58176
12815,60458
12816,50417
12817,59861
12819,43839
12821,34000
12822,52578
12823,82639
12824,61650
12827,62917
12828,51250
12831,78505
12832,43918
12833,65898
12834,56104
12835,51148
12836,61739
12837,45446
12838,56250
12839,44350
12841,27500
12842,37321
12843,38393
12844,60000
12845,66710
12846,53112
12847,62917
12849,70263
12850,74622
12851,48036
12852,46094
12853,38906
12855,44583
12857,49397
12859,55776
12860,38043
12861,63125
12863,69125
12865,57000
12866,70515
12870,55938
12871,64653
12872,28750
12873,48750
12874,69583
12878,50500
12883,52936
12884,46250
12885,53232
12887,47440
12901,43642
12903,50583
12910,56447
12912,50714
12913,55761
12914,50208
12916,55865
12917,55417
12918,58906
12919,42226
12920,50150
12921,63750
12922,53125
12923,40375
12924,39479
12926,50500
12927,43750
12928,44669
12929,45795
12930,45357
12932,46875
12934,38393
12935,48514
12936,60147
12937,40719
12939,54688
12941,61250
12942,47050
12943,51591
12944,47197
12945,71250
12946,55917
12950,46667
12952,42813
12953,48684
12955,64018
12956,65125
12957,34783
12958,40456
12959,44286
12960,75781
12962,68852
12965,38542
12966,42200
12967,44145
12969,40250
12970,45000
12972,66141
12973,60000
12974,40500
12975,70509
12976,61250
12979,64417
12980,40774
12981,54886
12983,50833
12985,39722
12986,50958
12987,33942
12989,62656
12992,50403
12993,43704
12996,44643
12997,65850
12998,27684
13020,45750
13021,47486
13026,65750
13027,69368
13028,40000
13029,68729
13030,60871
13031,70259
13032,51581
13033,60326
13034,57000
13035,70168
13036,51722
13037,64508
13039,79474
13040,46369
13041,78929
13042,55625
13044,61027
13045,46204
13052,53958
13053,62917
13054,51897
13057,55848
13060,57083
13061,59861
13063,78352
13066,77004
13068,65813
13069,43858
13071,63750
13072,50938
13073,54133
13074,50992
13076,51694
13077,57366
13078,83558
13080,58889
13081,58173
13082,58077
13083,49952
13084,66513
13087,133750
13088,53091
13090,68411
13092,63125
13101,60344
13104,99631
13108,75278
13110,70769
13111,52019
13112,55000
13113,61875
13114,52188
13115,40833
13116,59209
13117,54750
13118,56375
13120,55795
13122,61518
13123,66875
13124,46094
13126,47467
13131,51847
13132,57688
13134,44583
13135,49576
13136,42212
13140,49681
13141,44853
13142,45542
13143,46944
13144,43404
13145,44313
13146,44954
13147,66875
13148,49393
13152,86380
13153,47250
13155,45179
13156,55773
13157,39750
13158,45500
13159,72745
13160,64630
13162,81571
13163,49444
13164,72750
13165,48344
13166,56628
13167,51250
13202,15565
13203,30731
13204,28220
13205,30284
13206,38264
13207,44741
13208,32526
13209,52218
13210,25229
13211,44579
13212,51997
13214,68424
13215,82421
13219,59590
13224,51591
13301,74107
13302,48594
13303,64107
13304,80469
13305,90000
13308,40585
13309,53829
13310,48188
13312,40882
13313,38438
13314,43542
13315,49861
13316,44719
13317,50900
13318,58864
13319,40833
13320,55781
13321,50168
13322,45368
13323,63169
13324,37267
13325,50391
13326,60268
13327,43676
13328,55313
13329,43295
13331,74063
13332,44114
13333,60125
13334,53750
13335,57292
13337,51932
13338,47721
13339,42936
13340,45429
13341,107938
13342,56667
13343,51576
13346,70227
13348,42604
13350,43988
13353,34375
13354,69788
13355,42672
13357,42627
13360,41406
13361,51500
13363,58947
13364,40625
13365,43922
13367,54543
13368,45772
13402,47500
13403,81071
13404,32500
13406,54196
13407,48417
13408,49167
13409,53631
13410,53000
13411,40688
13413,68184
13415,41250
13416,56307
13417,31289
13418,53750
13420,59750
13421,46810
13424,56489
13425,49118
13428,46297
13431,60543
13433,44103
13435,46250
13436,53750
13437,47917
13438,51471
13439,47000
13440,48906
13450,50179
13452,40331
13454,36125
13456,63922
13459,47348
13460,44875
13461,55943
13464,44500
13468,46000
13469,70000
13470,41339
13471,50402
13472,72167
13473,56500
13476,51563
13477,46375
13478,59516
13480,46146
13483,42188
13484,92796
13485,40078
13486,55583
13488,62813
13489,50750
13490,67500
13491,56181
13492,61058
13493,51532
13494,45250
13495,52500
13501,31945
13502,35340
13601,45971
13602,51364
13603,41929
13605,49142
13606,54522
13607,43615
13608,50882
13612,60567
13613,42875
13614,35625
13615,54830
13616,45179
13617,50213
13618,51157
13619,53144
13620,43889
13621,37188
13622,55123
13623,78750
13624,59559
13625,49833
13626,51471
13628,45000
13630,55750
13633,67625
13634,53995
13635,34345
13636,57000
13637,51956
13638,38750
13639,48750
13640,50536
13642,39383
13646,41696
13647,99423
13648,47031
13650,56324
13651,79545
13652,44167
13654,43490
13655,31881
13656,52949
13658,56227
13659,48646
13660,41979
13661,59063
13662,41889
13664,60313
13665,60106
13666,24844
13667,39698
13668,46356
13669,42129
13670,40313
13672,48417
13673,48589
13676,50271
13679,47988
13680,33681
13681,46125
13682,65625
13684,46250
13685,56875
13687,43693
13690,40500
13691,56793
13692,59803
13693,46875
13694,70134
13695,95156
13697,37212
13730,45600
13731,46842
13732,77775
13733,49859
13734,58333
13736,60500
13739,50469
13740,50938
13743,52622
13744,55395
13746,51793
13748,46570
