,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
173,Leo Fuhr Hjelde,no NOR,MFDF,Leeds United,17,2003,1.7,128,10,56,58,16,1,128,0,0,,2,0,62,1,Matches,d102b8a2
174,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,1570,45,285,734,572,78,1570,43,76,56.6,62,50,923,101,Matches,c2731c10
175,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,17,2004,0.1,3,0,0,2,1,0,3,0,0,,0,0,3,0,Matches,7aa8adfe
176,Dwight Gayle,eng ENG,FWDF,Newcastle Utd,30,1990,0.4,22,0,0,10,12,3,22,0,0,,1,0,17,2,Matches,e58a03c6
177,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,29,1,6,22,1,0,29,2,3,66.7,2,2,20,0,Matches,6bd603db
178,David de Gea,es ESP,GK,Manchester Utd,30,1990,38.0,1019,927,1018,1,0,0,1019,0,0,,0,0,370,0,Matches,7ba6d84e
179,Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,8.3,269,5,17,121,133,44,269,17,29,58.6,30,19,195,54,Matches,01962d0d
180,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,4.3,177,4,18,57,107,13,176,4,10,40.0,22,7,133,26,Matches,ffa90327
181,Anwar El Ghazi,nl NED,FWMF,Everton,26,1995,0.1,14,0,1,5,8,2,14,0,1,0.0,1,0,8,1,Matches,ffa90327
182,Saman Ghoddos,ir IRN,MFDF,Brentford,27,1993,6.0,293,16,59,126,116,18,293,5,7,71.4,14,4,159,24,Matches,f7b1d4e0
183,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13.0,877,66,336,386,170,9,877,29,46,63.0,24,11,480,23,Matches,112c495e
184,Morgan Gibbs-White,eng ENG,DFFW,Wolves,21,2000,0.1,13,0,4,3,6,3,13,0,0,,0,0,7,2,Matches,32f60ed8
185,Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,1634,336,1006,589,46,22,1634,5,7,71.4,6,2,1071,0,Matches,bcfb0142
186,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,1421,44,359,779,300,5,1421,15,22,68.2,29,11,958,15,Matches,df10e27c
187,Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,1072,139,497,440,144,22,1072,9,12,75.0,24,4,522,17,Matches,9f7c837d
188,André Gomes,pt POR,MF,Everton,28,1993,6.9,374,14,64,210,106,7,374,12,18,66.7,21,16,222,10,Matches,1961b2aa
189,Toti Gomes,pt POR,DF,Wolves,22,1999,4.0,254,31,115,125,17,4,254,5,6,83.3,3,2,152,0,Matches,f0caab96
190,Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,328,4,64,168,99,6,328,4,8,50.0,5,2,205,13,Matches,7a11550b
191,Charlie Goode,eng ENG,DF,Brentford,25,1995,5.0,337,20,113,159,66,10,337,5,7,71.4,3,1,162,7,Matches,7aee4dd3
192,Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,1093,21,161,382,576,76,1093,38,80,47.5,74,37,660,81,Matches,2bd83368
193,Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,7,0,0,4,3,0,7,0,1,0.0,0,1,6,3,Matches,19a9cb70
194,Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,83,9,29,38,18,3,83,2,2,100.0,2,1,50,4,Matches,7fec31a0
195,Demarai Gray,eng ENG,MFFW,Everton,25,1996,26.0,1079,18,117,369,616,86,1079,55,106,51.9,70,36,704,122,Matches,4468ec10
196,Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,1160,15,67,359,752,162,1160,40,68,58.8,31,29,983,147,Matches,b0b4fd3e
197,Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,14.1,640,6,75,274,303,57,640,32,52,61.5,26,16,504,66,Matches,58eee997
198,Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,2.6,107,2,15,61,33,6,107,2,5,40.0,1,0,59,13,Matches,f3354c07
199,Pascal Groß,de GER,MFDF,Brighton,30,1991,22.6,1522,43,228,696,603,58,1521,9,18,50.0,27,15,996,85,Matches,8aec0537
200,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,1038,916,1035,3,0,0,1038,0,0,,1,0,485,0,Matches,ab13a5aa
201,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,2647,376,1511,1067,79,30,2647,12,13,92.3,14,7,1922,5,Matches,d0706b27
202,Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,695,33,166,373,171,19,695,22,40,55.0,24,29,457,12,Matches,82518f62
203,İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,1522,25,157,782,601,85,1522,24,35,68.6,25,19,1204,104,Matches,819b3158
204,Angus Gunn,eng ENG,GK,Norwich City,25,1996,9.0,341,288,339,2,0,0,341,0,0,,0,0,111,0,Matches,e082af5b
205,Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,1699,367,1101,552,53,35,1699,1,3,33.3,9,1,937,3,Matches,e9254eec
206,Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,29.3,1420,30,260,549,633,95,1420,54,114,47.4,87,66,934,130,Matches,aa849a12
207,Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,266,34,136,118,15,9,266,3,4,75.0,4,1,150,3,Matches,bf8fad51
208,Kai Havertz,de GER,FWMF,Chelsea,22,1999,20.1,936,34,91,350,500,128,936,18,42,42.9,66,32,730,158,Matches,fed7cb61
209,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,11.1,463,42,177,225,70,10,463,9,15,60.0,16,8,244,9,Matches,c951a6df
210,Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,20.2,840,13,115,405,334,70,840,33,69,47.8,47,24,640,95,Matches,169fd162
211,Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,2435,34,292,1463,691,37,2435,16,25,64.0,28,12,1857,92,Matches,935e6b8f
212,Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,0.8,36,1,3,25,8,1,36,0,1,0.0,2,1,26,1,Matches,989d5705
213,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2.0,84,59,80,4,0,0,84,0,0,,0,0,22,0,Matches,76eca7e2
214,Rico Henry,eng ENG,DF,Brentford,24,1997,30.8,1525,95,499,613,429,40,1525,27,60,45.0,40,34,830,64,Matches,8a3c1dc7
215,Son Heung-min,kr KOR,MFFW,Tottenham,29,1992,33.4,1528,15,147,562,849,141,1528,51,92,55.4,75,46,1069,223,Matches,92e7e919
216,Ki-Jana Hoever,nl NED,DFMF,Wolves,19,2002,3.4,198,9,53,94,51,3,198,4,7,57.1,2,4,105,8,Matches,9a71e978
217,Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,585,84,299,273,15,7,585,0,1,0.0,4,3,366,0,Matches,d79a8c87
218,Mason Holgate,eng ENG,DF,Everton,24,1996,23.7,1090,155,548,493,57,14,1090,2,4,50.0,3,7,506,1,Matches,d0042ab9
219,Callum Hudson-Odoi,eng ENG,MFFW,Chelsea,20,2000,10.7,494,8,37,166,300,56,494,16,26,61.5,22,20,397,59,Matches,15f3ec41
220,Will Hughes,eng ENG,MF,Crystal Palace,26,1995,11.7,651,24,161,357,143,3,651,8,12,66.7,15,9,382,7,Matches,a0666d3e
221,Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,35.5,2905,113,712,1776,446,32,2905,42,60,70.0,32,22,2095,40,Matches,8b04d6c1
222,Adam Idah,ie IRL,FWMF,Norwich City,20,2001,6.9,227,11,26,91,114,30,227,12,20,60.0,23,13,159,39,Matches,291e3ec3
223,Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,14.0,519,11,45,230,252,46,519,16,33,48.5,52,21,383,84,Matches,c92e1a31
224,Danny Ings,eng ENG,FW,Aston Villa,29,1992,21.1,617,20,62,245,315,112,616,10,31,32.3,50,21,385,102,Matches,07802f7f
225,Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,1.0,36,1,7,26,3,1,36,0,0,,0,0,14,0,Matches,84c5ceea
226,Alex Iwobi,ng NGA,MFDF,Everton,25,1996,22.6,1038,39,231,391,431,61,1038,32,57,56.1,44,27,633,70,Matches,6ca5ec4b
227,Daniel James,wls WAL,FW,Manchester Utd,23,1997,1.4,52,1,2,20,30,8,52,0,1,0.0,4,3,32,13,Matches,c931d9f9
228,Daniel James,wls WAL,FWMF,Leeds United,23,1997,26.3,749,19,83,261,416,105,749,21,53,39.6,54,22,506,138,Matches,c931d9f9
229,Reece James,eng ENG,DF,Chelsea,21,1999,20.7,1848,34,318,794,759,65,1848,36,47,76.6,26,22,1336,92,Matches,1265a93a
230,Vitaly Janelt,de GER,MF,Brentford,23,1998,25.5,1246,61,363,595,293,44,1246,13,15,86.7,35,11,736,50,Matches,8449d35e
231,Pontus Jansson,se SWE,DF,Brentford,30,1991,36.9,1888,387,1173,649,71,57,1888,2,2,100.0,10,5,1024,4,Matches,172e52d8
232,Mathias Jensen,dk DEN,MF,Brentford,25,1996,17.8,963,30,192,485,301,27,963,15,24,62.5,26,15,557,42,Matches,0f134faf
233,Gabriel Jesus,br BRA,FW,Manchester City,24,1997,20.9,1022,12,82,313,635,165,1021,46,71,64.8,66,27,791,148,Matches,b66315ae
234,Raúl Jiménez,mx MEX,FW,Wolves,30,1991,29.2,1137,35,108,594,446,121,1136,36,87,41.4,99,57,840,150,Matches,b561db50
235,João Pedro,br BRA,FWMF,Watford,19,2001,18.3,877,19,76,401,422,78,877,62,106,58.5,63,58,621,80,Matches,e8832875
236,Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,28.4,1387,82,295,685,429,78,1387,37,70,52.9,85,60,830,76,Matches,c17bfb65
237,Ben Johnson,eng ENG,DF,West Ham,21,2000,15.5,937,85,337,405,205,9,937,7,10,70.0,23,9,511,16,Matches,9319781b
238,Curtis Jones,eng ENG,MF,Liverpool,20,2001,9.5,684,8,86,378,224,17,684,25,33,75.8,17,18,562,41,Matches,4fb9c88f
239,Phil Jones,eng ENG,DF,Manchester Utd,29,1992,1.8,101,17,48,50,4,0,101,1,1,100.0,1,0,63,0,Matches,def899bd
240,Jorginho,it ITA,MF,Chelsea,29,1991,25.3,2099,51,422,1298,395,13,2092,16,21,76.2,22,19,1579,19,Matches,45db685d
241,Diogo Jota,pt POR,FW,Liverpool,24,1996,26.3,1088,13,89,435,584,180,1088,27,69,39.1,63,33,832,175,Matches,178ae8f8
242,James Justin,eng ENG,DF,Leicester City,23,1998,11.1,783,42,255,354,179,15,783,5,15,33.3,5,10,468,29,Matches,fb614c44
243,Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,5.8,388,25,153,174,64,5,388,0,1,0.0,1,3,200,0,Matches,0db5d2c8
244,Ozan Kabak,tr TUR,DF,Norwich City,21,2000,10.2,528,63,323,202,12,4,528,16,20,80.0,4,6,335,1,Matches,2d61d13a
245,Christian Kabasele,be BEL,DF,Watford,30,1991,13.3,612,102,374,223,17,11,612,1,3,33.3,7,1,336,1,Matches,914ab9a1
246,Samuel Kalu,ng NGA,FW,Watford,23,1997,2.5,99,4,17,32,51,6,99,4,10,40.0,7,5,67,12,Matches,b8d22478
247,Hassane Kamara,ci CIV,DF,Watford,27,1994,18.0,1171,76,542,483,160,9,1171,15,30,50.0,16,6,501,15,Matches,19a12bed
248,Harry Kane,eng ENG,FW,Tottenham,28,1993,35.9,1364,50,136,625,627,168,1360,54,100,54.0,97,61,1079,213,Matches,21a66f6a
249,N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,19.7,1528,23,271,766,508,29,1528,35,48,72.9,35,28,1147,54,Matches,b9fbae28
250,Edo Kayembe,cd COD,MF,Watford,23,1998,8.9,531,26,161,312,63,1,531,12,17,70.6,10,11,325,8,Matches,f99b71de
251,Moise Kean,it ITA,FW,Everton,21,2000,0.0,1,0,0,1,0,0,1,0,0,,0,1,2,0,Matches,3d50bcdb
252,Michael Keane,eng ENG,DF,Everton,28,1993,31.0,1537,229,774,714,59,32,1537,7,8,87.5,7,2,819,4,Matches,c5b7c315
253,Naby Keïta,gn GUI,MF,Liverpool,26,1995,13.0,930,13,121,516,303,31,930,15,24,62.5,30,10,652,30,Matches,f25c8e3a
254,Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2.0,96,72,96,0,0,0,96,0,0,,0,0,58,0,Matches,62d7ef38
255,Kenedy,br BRA,DF,Chelsea,25,1996,0.6,62,1,13,21,30,4,62,1,1,100.0,2,3,44,7,Matches,5eebbfdf
256,Jonjoe Kenny,eng ENG,DF,Everton,24,1997,11.3,577,33,162,277,146,8,577,4,9,44.4,8,3,285,14,Matches,099e666f
257,Max Kilman,eng ENG,DF,Wolves,24,1997,29.9,1842,205,922,845,92,22,1842,17,20,85.0,21,5,1215,6,Matches,d0f72bf1
258,Joshua King,no NOR,FW,Watford,29,1992,25.0,825,40,105,354,381,104,824,30,67,44.8,84,42,558,132,Matches,43458538
259,Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,0.4,13,10,13,0,0,0,13,0,0,,0,0,4,0,Matches,3f70db80
260,Mateusz Klich,pl POL,MF,Leeds United,31,1990,23.0,1245,29,257,625,381,50,1245,20,35,57.1,39,22,828,106,Matches,282679b4
261,Robin Koch,de GER,MFDF,Leeds United,25,1996,17.5,885,118,397,405,88,18,885,5,8,62.5,16,6,517,13,Matches,ea6bc03a
262,Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,1.0,23,2,13,10,0,0,23,0,0,,0,0,10,0,Matches,3935e52e
263,Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11.0,849,70,341,491,19,5,849,2,3,66.7,4,1,577,1,Matches,5ed9b537
264,Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,27.5,1237,202,715,463,68,36,1237,6,9,66.7,10,6,784,6,Matches,0313a347
265,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,21.9,1048,72,388,574,99,7,1048,13,17,76.5,30,11,525,7,Matches,8d3c902d
266,Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,17.3,1366,22,217,826,342,14,1366,38,51,74.5,18,22,1070,32,Matches,79c0821a
267,Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,18.2,952,76,388,384,186,9,952,2,4,50.0,9,4,424,9,Matches,77cf6852
268,Alex Král,cz CZE,MF,West Ham,23,1998,0.0,2,0,0,2,0,0,2,0,0,,0,0,1,0,Matches,e717705a
269,Tim Krul,nl NED,GK,Norwich City,33,1988,29.0,1154,958,1133,21,1,0,1154,0,0,,1,0,502,0,Matches,f23f9d20
270,Juraj Kucka,sk SVK,MF,Watford,34,1987,21.3,1022,74,294,518,222,31,1022,17,33,51.5,48,19,510,22,Matches,5aaef9ef
271,Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,14.0,636,4,95,258,291,63,636,25,44,56.8,38,18,446,78,Matches,df3cda47
272,Alexandre Lacazette,fr FRA,FW,Arsenal,30,1991,19.8,634,4,58,272,311,104,631,19,33,57.6,43,29,487,104,Matches,9dbb75ca
273,Adam Lallana,eng ENG,MF,Brighton,33,1988,17.3,1116,40,243,628,252,34,1116,14,23,60.9,24,15,792,47,Matches,99813635
274,Tariq Lamptey,gh GHA,DFFW,Brighton,20,2000,17.3,1002,31,196,377,447,39,1002,29,61,47.5,46,21,693,58,Matches,f4e433d4
275,Manuel Lanzini,ar ARG,MFFW,West Ham,28,1993,19.8,1396,23,215,819,376,34,1393,25,36,69.4,31,16,1024,48,Matches,26f6dca8
276,Aymeric Laporte,es ESP,DF,Manchester City,27,1994,31.4,3140,211,1052,1936,160,43,3140,6,8,75.0,4,7,2545,7,Matches,119b9a8e
277,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,22.9,945,221,622,262,66,51,945,1,2,50.0,9,2,482,5,Matches,450ab6fc
278,Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,25.2,1259,74,358,615,307,23,1259,19,30,63.3,27,17,819,47,Matches,f5044e54
279,Aaron Lennon,eng ENG,MFFW,Burnley,34,1987,17.2,541,21,87,222,240,41,541,13,30,43.3,25,13,331,37,Matches,2ff964a0
280,Bernd Leno,de GER,GK,Arsenal,29,1992,4.0,127,102,127,0,0,0,127,0,0,,0,0,49,0,Matches,2628fd2b
281,Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,2.9,132,9,55,45,32,1,132,0,3,0.0,1,7,66,3,Matches,efb9215a
282,Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,26.2,1595,222,882,678,46,10,1595,3,3,100.0,8,1,1023,2,Matches,f5deef4c
283,Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,4.1,199,2,18,88,93,8,199,2,6,33.3,12,5,152,15,Matches,810e3c74
284,Valentino Livramento,eng ENG,DF,Southampton,18,2002,24.5,1466,75,404,663,434,45,1466,30,55,54.5,52,19,755,62,Matches,afed6722
285,Diego Llorente,es ESP,DF,Leeds United,27,1993,26.0,1651,194,901,715,48,11,1651,8,13,61.5,20,3,1012,1,Matches,bba30585
286,Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38.0,1048,953,1045,3,0,0,1048,0,0,,2,0,376,0,Matches,8f62b6ee
287,Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,2.6,205,1,23,99,86,10,205,9,15,60.0,11,3,152,14,Matches,d7553721
288,Jürgen Locadia,nl NED,MFFW,Brighton,27,1993,0.3,3,0,0,1,2,0,3,0,0,,1,1,3,0,Matches,6cc47ae1
289,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,15.5,1162,19,178,680,325,40,1162,42,60,70.0,27,33,881,38,Matches,e97fd090
290,Kevin Long,ie IRL,DF,Burnley,30,1990,4.6,142,25,82,53,7,7,142,0,0,,2,0,69,0,Matches,5a4280b1
291,Shane Long,ie IRL,FW,Southampton,34,1987,3.4,130,2,9,48,74,18,130,1,4,25.0,12,11,100,19,Matches,9f472354
292,Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,16.3,767,43,198,436,137,14,767,6,11,54.5,22,18,424,16,Matches,a2b105e0
293,Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,16.1,744,7,90,325,339,89,744,38,58,65.5,59,52,549,101,Matches,7c104bb7
294,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2.0,64,46,62,2,0,0,64,0,0,,0,0,34,0,Matches,939bc634
295,Imran Louza,ma MAR,MF,Watford,22,1999,15.7,911,41,235,540,158,10,911,14,24,58.3,19,9,440,15,Matches,e1df6989
296,Matthew Lowton,eng ENG,DF,Burnley,32,1989,19.7,1069,94,314,496,273,5,1069,10,21,47.6,11,6,480,21,Matches,9a9c05db
297,Douglas Luiz,br BRA,MF,Aston Villa,23,1998,30.2,1811,83,458,1055,313,7,1811,24,43,55.8,50,17,1115,30,Matches,6f7d826d
298,Romelu Lukaku,be BEL,FW,Chelsea,28,1993,17.7,479,21,30,197,255,89,478,13,25,52.0,37,25,358,123,Matches,5eae500a
299,Lyanco,br BRA,DF,Southampton,24,1997,10.1,530,103,273,244,20,4,530,4,4,100.0,5,2,266,1,Matches,b5bf1770
300,Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,23.6,1362,42,221,649,508,48,1359,21,42,50.0,43,23,846,64,Matches,83d074ff
301,James Maddison,eng ENG,MFFW,Leicester City,24,1996,27.3,1323,19,170,640,528,74,1323,31,48,64.6,42,32,969,116,Matches,ee38d9c5
302,Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,27.9,1840,236,850,903,101,42,1840,4,5,80.0,13,5,1209,5,Matches,d8931174
303,Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,16.6,1118,11,81,315,733,127,1113,26,50,52.0,42,21,843,136,Matches,892d5bb1
304,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,3.0,169,8,41,95,34,0,169,4,8,50.0,4,5,110,6,Matches,e3a5814e
305,Sadio Mané,sn SEN,FW,Liverpool,29,1992,31.3,1473,19,91,609,799,199,1473,47,77,61.0,104,59,1198,257,Matches,c691bfe2
306,Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,14.0,558,55,236,209,117,8,558,10,18,55.6,14,3,229,14,Matches,758dd7f0
307,Fernando Marçal,br BRA,MFDF,Wolves,32,1989,16.1,1070,60,343,433,306,25,1070,7,14,50.0,25,6,619,48,Matches,9ae9eaea
308,Solly March,eng ENG,DFFW,Brighton,27,1994,19.4,946,44,149,335,475,60,946,23,38,60.5,26,29,606,76,Matches,bb5fbd2b
309,Pablo Marí,es ESP,DF,Arsenal,27,1993,2.0,120,14,46,70,4,3,120,0,0,,2,0,68,0,Matches,aa54ec6f
310,Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,2.4,108,1,9,38,63,13,108,4,7,57.1,6,4,97,22,Matches,8b788c01
311,Martinelli,br BRA,FWMF,Arsenal,20,2001,20.7,889,25,107,250,548,117,888,45,79,57.0,58,34,587,117,Matches,48a5a5d6
312,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36.0,1160,988,1142,19,0,0,1160,0,0,,0,0,451,0,Matches,7956236f
313,Adam Masina,ma MAR,DF,Watford,27,1994,12.0,678,62,267,294,124,5,678,9,11,81.8,10,1,313,6,Matches,de0f152c
314,Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,7.2,470,26,137,194,141,9,470,10,17,58.8,8,9,268,9,Matches,57df7a11
315,Juan Mata,es ESP,MF,Manchester Utd,33,1988,2.6,242,0,37,123,84,7,242,3,6,50.0,6,2,194,10,Matches,29733c72
316,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,12.7,382,16,35,193,159,63,382,10,17,58.8,28,23,268,43,Matches,50e6dc35
317,Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,15.4,1211,56,336,709,177,8,1211,17,22,77.3,19,21,845,7,Matches,eb7822d7
318,Joël Matip,cm CMR,DF,Liverpool,29,1991,31.0,2647,228,988,1490,185,62,2647,9,10,90.0,13,7,1833,6,Matches,b217ef29
319,Neal Maupay,fr FRA,FW,Brighton,24,1996,25.3,837,8,40,338,468,104,835,21,41,51.2,53,51,607,163,Matches,4bcf39f6
320,Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,32.3,1176,18,128,422,645,133,1175,39,80,48.8,87,57,808,213,Matches,6afaebf2
321,James McArthur,sct SCO,MF,Crystal Palace,33,1987,16.0,1122,45,273,638,222,19,1122,21,30,70.0,22,14,698,25,Matches,cee31595
322,James Mcatee,eng ENG,MFFW,Manchester City,18,2002,0.2,16,0,1,10,5,3,16,1,1,100.0,1,2,12,2,Matches,96593e89
323,Kasey McAteer,eng ENG,FW,Leicester City,19,2001,0.0,2,0,1,0,1,0,2,0,0,,1,0,2,0,Matches,b2c66859
324,Liam McCarron,sct SCO,FW,Leeds United,20,2001,0.1,3,0,1,2,0,0,3,0,0,,0,0,1,0,Matches,076bb352
325,Alex McCarthy,eng ENG,GK,Southampton,31,1989,17.0,538,429,535,3,0,0,538,0,0,,0,0,231,0,Matches,36c2ca73
326,John McGinn,sct SCO,MF,Aston Villa,26,1994,34.3,1744,69,344,959,463,25,1744,44,68,64.7,48,28,1072,52,Matches,90f91999
327,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,0.0,5,0,1,4,0,0,5,0,0,,0,0,3,1,Matches,1000a059
328,Kenny McLean,sct SCO,MF,Norwich City,29,1992,30.1,1385,71,365,714,327,44,1385,19,30,63.3,41,14,900,48,Matches,471f16b3
329,Dwight McNeil,eng ENG,MF,Burnley,21,1999,34.5,1611,46,277,724,669,57,1611,90,150,60.0,78,51,930,77,Matches,fc15fb84
330,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,26.5,1579,93,387,916,294,27,1579,36,47,76.6,44,32,993,36,Matches,d93c2511
331,Ben Mee,eng ENG,DF,Burnley,31,1989,20.4,981,137,478,463,47,31,981,4,5,80.0,4,0,444,2,Matches,8df7a2fb
332,Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,0.8,31,0,6,13,14,0,31,1,2,50.0,1,1,22,4,Matches,ca22ccb0
333,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,0.9,99,0,13,63,23,1,99,2,3,66.7,1,0,72,3,Matches,5271c8f1
334,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34.0,1020,882,1015,5,0,0,1020,0,0,,2,0,525,0,Matches,33887998
335,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,11.5,724,21,186,486,57,0,724,4,4,100.0,12,9,541,6,Matches,1598599e
336,Illan Meslier,fr FRA,GK,Leeds United,21,2000,37.6,1500,1306,1494,7,0,0,1500,2,2,100.0,4,0,720,0,Matches,6b625ac2
337,Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,8.6,560,20,136,315,113,1,560,2,2,100.0,3,3,335,1,Matches,2ce2508a
338,James Milner,eng ENG,MFDF,Liverpool,35,1986,9.5,898,39,166,485,250,12,898,2,6,33.3,12,5,621,23,Matches,2f90f6b8
339,Yerry Mina,co COL,DF,Everton,26,1994,9.4,457,85,261,172,26,14,457,0,0,,2,1,250,2,Matches,6d5701f2
340,Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,2.1,93,1,8,36,50,8,93,1,5,20.0,2,5,75,15,Matches,f833a830
341,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,35.4,2029,321,1170,771,107,51,2029,11,12,91.7,17,4,1235,14,Matches,8397a50c
342,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,34.5,2267,135,890,925,478,25,2267,16,29,55.2,45,26,1181,59,Matches,5cbd1eb0
343,Jakub Moder,pl POL,MF,Brighton,22,1999,18.9,1049,36,190,429,444,62,1049,12,29,41.4,50,19,726,77,Matches,f230bc30
344,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,0.0,3,0,0,0,3,0,3,0,0,,0,0,3,0,Matches,bfae110f
345,Tyler Morton,eng ENG,MF,Liverpool,18,2002,0.7,41,0,2,33,6,0,41,0,0,,2,0,23,0,Matches,2bc28bb9
346,Mason Mount,eng ENG,MF,Chelsea,22,1999,26.3,1543,17,124,524,908,136,1542,18,42,42.9,70,34,1162,212,Matches,9674002f
347,Lucas Moura,br BRA,FWMF,Tottenham,28,1992,19.7,1022,21,106,509,428,61,1022,56,92,60.9,59,33,767,73,Matches,2b622f01
348,João Moutinho,pt POR,MF,Wolves,34,1986,33.0,2310,63,517,1338,476,11,2310,16,21,76.2,30,20,1485,28,Matches,f5a00fa4
349,Bali Mumba,eng ENG,DF,Norwich City,19,2001,0.5,19,8,13,3,3,0,19,0,1,0.0,0,0,8,0,Matches,2d760d7b
350,Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,16.4,787,34,214,298,293,56,787,13,29,44.8,29,21,414,49,Matches,de112b84
351,Enock Mwepu,zm ZAM,MF,Brighton,23,1998,11.1,544,22,108,273,177,33,544,15,23,65.2,26,9,335,35,Matches,1d5cab82
352,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,11.7,599,43,199,212,195,13,599,3,9,33.3,11,4,240,10,Matches,30d4a2e5
353,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,10.0,495,40,163,288,50,0,495,14,16,87.5,14,10,261,0,Matches,de5b5570
