,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
81,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6.0,411,9,83,141,192,24,411,3,6,50.0,13,3,250,23,Matches,d2424d1b
82,Chiquinho,pt POR,DFFW,Wolves,21,2000,2.3,146,2,23,52,73,16,146,10,17,58.8,9,6,101,16,Matches,dc6c2f02
83,Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,207,18,94,106,8,2,207,2,3,66.7,8,2,124,0,Matches,7d2d3329
84,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,1472,145,643,770,67,5,1472,4,4,100.0,3,1,1058,3,Matches,1cb49278
85,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2003,3.3,163,3,22,87,56,11,163,6,10,60.0,9,6,121,15,Matches,b2f9c73e
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,463,73,258,176,32,21,463,4,5,80.0,3,2,258,5,Matches,2b91cf8e
87,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,798,35,175,393,238,10,798,3,6,50.0,16,16,440,31,Matches,6cdd8245
88,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15.0,816,39,307,383,137,1,816,4,6,66.7,10,4,440,12,Matches,0442183b
89,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,1968,415,1299,648,30,18,1968,1,1,100.0,6,1,1369,3,Matches,2928dca2
90,Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,1538,124,506,725,333,32,1538,34,49,69.4,30,20,711,47,Matches,0420d84f
91,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,877,148,430,376,79,38,877,5,8,62.5,10,4,373,8,Matches,a8c19eb8
92,Aaron Connolly,ie IRL,FWMF,Brighton,21,2000,1.7,33,0,0,13,20,4,33,0,2,0.0,2,2,22,6,Matches,27c01749
93,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,1401,151,855,528,27,13,1401,3,4,75.0,9,1,820,1,Matches,dc64b8b3
94,Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,738,39,130,489,121,10,738,7,13,53.8,18,20,388,11,Matches,74e12f1e
95,Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,652,17,94,207,356,80,651,13,38,34.2,61,33,415,96,Matches,beb391dd
96,Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,9,0,2,4,3,0,9,0,0,,1,0,6,0,Matches,f13d02a6
97,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,1662,110,451,698,531,30,1662,15,23,65.2,30,15,883,53,Matches,fdf3cb77
98,Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,809,7,56,438,328,47,809,21,43,48.8,35,20,627,47,Matches,0ef89a37
99,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,2282,125,669,1070,561,22,2282,8,17,47.1,14,4,1495,35,Matches,4f974391
100,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,123,11,71,49,3,1,123,0,0,,1,0,77,0,Matches,4654e5f5
101,Cucho,co COL,FWMF,Watford,22,1999,12.7,536,19,79,195,268,37,536,18,39,46.2,23,14,348,52,Matches,71b47ab9
102,Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,2669,119,675,1184,833,51,2669,28,55,50.9,40,15,1628,100,Matches,1daec722
103,Luke Cundle,eng ENG,MF,Wolves,19,2002,2.0,116,3,30,68,18,1,116,0,1,0.0,2,1,86,2,Matches,cc3b8e78
104,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,362,9,30,167,168,50,362,3,16,18.8,42,18,242,62,Matches,ca45605e
