,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1,Matches,f8405304
20,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,18,13,8,8,2,5,18,27.8,13,11,0,11,6,24,4,0,Matches,1956b948
21,Ibrahim Amadou,fr FRA,DFMF,Metz,28,1993,9.0,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0,Matches,9260926b
22,Jordan Amavi,fr FRA,DF,Nice,27,1994,4.6,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0,Matches,22721b88
23,Jordan Amavi,fr FRA,DFFW,Marseille,27,1994,1.4,6,5,3,1,2,5,10,50.0,5,1,0,1,1,7,3,0,Matches,22721b88
24,Benjamin André,fr FRA,MF,Lille,30,1990,30.6,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0,Matches,ef9c1c95
25,Houssem Aouar,fr FRA,MFFW,Lyon,23,1998,27.8,46,30,9,25,12,27,54,50.0,27,26,1,25,20,66,5,0,Matches,a5db0bec
26,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,19,2002,12.0,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0,Matches,b94b8be1
27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0,Matches,feb5d3ab
28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0,Matches,b026bbf6
29,Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,29,19,17,10,2,14,25,56.0,11,13,2,11,32,61,21,0,Matches,6a827d8e
30,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,24,1997,0.9,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,0,0,Matches,97bfa797
31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,6,5,4,2,0,3,5,60.0,2,4,2,2,1,7,10,0,Matches,eaf71a5e
32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,6,5,4,2,0,3,5,60.0,2,12,10,2,12,18,48,0,Matches,114bbdee
33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,36,19,21,15,0,14,23,60.9,9,18,12,6,28,64,68,1,Matches,06df8256
34,Youssouph Badji,sn SEN,FWMF,Brest,19,2001,1.5,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches,6a2b9aee
35,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,12.2,13,8,2,7,4,1,9,11.1,8,15,0,15,3,16,3,0,Matches,5046b7d4
36,Dénys Bain,fr FRA,DF,Brest,28,1993,2.0,3,3,1,2,0,1,1,100.0,0,3,1,2,3,6,5,0,Matches,5065d67d
37,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,be13e5a8
38,Cédric Bakambu,cd COD,FW,Marseille,30,1991,4.0,2,0,1,0,1,0,3,0.0,3,2,0,2,0,2,1,0,Matches,0af4dcf0
39,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,3.4,15,9,12,3,0,8,12,66.7,4,5,4,1,11,26,16,0,Matches,ee95585f
40,Dilane Bakwa,fr FRA,FWMF,Bordeaux,18,2002,0.5,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches,2b5a35e5
41,Ibrahima Baldé,fr FRA,FWMF,Lens,18,2003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,a30cb0d4
42,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,9,6,9,0,0,5,14,35.7,9,11,4,7,19,28,30,0,Matches,7c3ed041
43,Abdoulaye Bamba,ci CIV,DFFW,Angers,31,1990,5.1,6,5,6,0,0,4,11,36.4,7,5,1,4,9,15,13,0,Matches,7fecbcdb
44,Jonathan Bamba,fr FRA,MFFW,Lille,25,1996,27.0,30,12,13,9,8,13,36,36.1,23,24,1,23,21,51,10,0,Matches,b2bd0f6c
45,Simon Banza,fr FRA,FW,Lens,24,1996,1.4,2,1,0,0,2,0,2,0.0,2,1,0,1,1,3,2,0,Matches,be47b750
46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,10,0,Matches,0557ff4f
47,Bradley Barcola,fr FRA,FWMF,Lyon,18,2002,2.9,7,4,2,3,2,1,8,12.5,7,7,1,6,2,9,1,1,Matches,a0d55a09
48,Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,59,37,38,17,4,41,63,65.1,22,33,10,23,51,110,56,0,Matches,1ddbc7ca
49,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,2,2,1,0,1,0,4,0.0,4,4,1,3,2,4,0,0,Matches,80556f08
50,Amine Bassi,fr FRA,MFFW,Metz,23,1997,2.0,6,3,2,3,1,1,3,33.3,2,5,0,5,0,6,0,0,Matches,ced1d98f
51,Paul Baysse,fr FRA,MFDF,Bordeaux,33,1988,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches,2515040a
52,Youcef Belaïli,dz ALG,MFFW,Brest,29,1992,9.2,2,1,0,0,2,2,9,22.2,7,5,1,4,7,9,4,0,Matches,1a248246
53,Haris Belkebla,dz ALG,MF,Brest,27,1994,25.7,46,23,21,21,4,18,39,46.2,21,26,6,20,48,94,30,1,Matches,2b1bed19
54,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,25.9,51,32,21,21,9,17,41,41.5,24,29,4,25,27,78,19,0,Matches,10f0fdd3
55,Jeanöel Belocian,fr FRA,DF,Rennes,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,c678ddd7
56,Hatem Ben Arfa,fr FRA,FWMF,Lille,34,1987,3.5,4,2,2,1,1,2,4,50.0,2,3,0,3,0,4,1,0,Matches,74dc806c
57,Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1f6298f2
58,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,18,8,1,11,6,6,15,40.0,9,12,1,11,0,18,1,0,Matches,942b4f90
59,Darío Benedetto,ar ARG,FWMF,Marseille,31,1990,0.6,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,bef0a7ac
60,Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,12,2,Matches,8a2248b4
61,Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,Matches,f5b6fb78
62,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,42,24,15,20,7,16,29,55.2,13,24,9,15,28,70,13,0,Matches,3189f61a
63,Patrick Berg,no NOR,MF,Lens,23,1997,3.4,14,6,6,8,0,0,4,0.0,4,2,1,1,4,18,3,0,Matches,e4114f5d
64,Mitchell van Bergen,nl NED,FWMF,Reims,21,1999,10.9,8,5,7,0,1,6,15,40.0,9,9,0,9,4,12,7,0,Matches,0b2c9aec
65,Valon Berisha,xk KVX,MFFW,Reims,28,1993,5.1,10,7,2,5,3,2,10,20.0,8,9,0,9,4,14,3,0,Matches,d5575935
66,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,8,1,Matches,28dabd43
67,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,2,Matches,28dabd43
68,Juan Bernat,es ESP,DFMF,Paris S-G,28,1993,10.6,24,14,10,10,4,13,18,72.2,5,8,0,8,8,32,16,0,Matches,433dc9a2
