,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
25,Houssem Aouar,fr FRA,MFFW,Lyon,23,1998,27.8,6,76,24,31.6,2.73,0.86,0.08,0.25,17.9,0,0,0,8.9,8.9,0.12,-2.9,-2.9,Matches,a5db0bec
26,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,19,2002,12.0,0,21,10,47.6,1.75,0.83,0.00,0.00,22.5,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches,b94b8be1
27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,0,2,0,0.0,0.09,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,feb5d3ab
28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,0,6,4,66.7,0.88,0.58,0.00,0.00,8.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8,Matches,b026bbf6
29,Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,2,13,5,38.5,1.03,0.39,0.15,0.40,18.7,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches,6a827d8e
30,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,24,1997,0.9,0,2,0,0.0,2.14,0.00,0.00,,18.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,97bfa797
31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,0,3,3,100.0,0.70,0.70,0.00,0.00,22.4,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,eaf71a5e
32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,0,7,0,0.0,0.64,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,114bbdee
33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,1,14,4,28.6,0.69,0.20,0.07,0.25,10.4,0,0,0,1.9,1.9,0.13,-0.9,-0.9,Matches,06df8256
34,Youssouph Badji,sn SEN,FWMF,Brest,19,2001,1.5,0,2,0,0.0,1.33,0.00,0.00,,16.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,6a2b9aee
