,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
40,Dilane Bakwa,fr FRA,FWMF,Bordeaux,18,2002,0.5,24,1,2,13,9,2,24,1,3,33.3,1,1,14,2,Matches,2b5a35e5
41,Ibrahima Baldé,fr FRA,FWMF,Lens,18,2003,0.6,16,0,1,7,8,1,16,0,2,0.0,3,0,10,2,Matches,a30cb0d4
42,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,919,79,404,507,11,4,919,11,13,84.6,8,6,677,1,Matches,7c3ed041
43,Abdoulaye Bamba,ci CIV,DFFW,Angers,31,1990,5.1,233,18,81,89,65,6,233,0,1,0.0,10,1,112,6,Matches,7fecbcdb
44,Jonathan Bamba,fr FRA,MFFW,Lille,25,1996,27.0,1489,16,187,681,649,78,1489,34,103,33.0,76,57,1054,124,Matches,b2bd0f6c
45,Simon Banza,fr FRA,FW,Lens,24,1996,1.4,49,2,3,16,32,5,49,4,6,66.7,2,3,36,7,Matches,be47b750
46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,60,12,32,28,0,0,60,0,0,,4,0,35,0,Matches,0557ff4f
47,Bradley Barcola,fr FRA,FWMF,Lyon,18,2002,2.9,122,5,24,44,58,16,122,2,8,25.0,6,3,66,19,Matches,a0d55a09
48,Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,2140,86,592,1202,386,14,2140,22,37,59.5,41,17,1286,46,Matches,1ddbc7ca
49,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,117,1,17,61,39,5,117,1,4,25.0,4,0,84,10,Matches,80556f08
50,Amine Bassi,fr FRA,MFFW,Metz,23,1997,2.0,144,1,23,77,47,1,144,3,4,75.0,5,3,94,11,Matches,ced1d98f
51,Paul Baysse,fr FRA,MFDF,Bordeaux,33,1988,0.1,6,3,4,3,0,0,6,0,0,,0,0,1,0,Matches,2515040a
52,Youcef Belaïli,dz ALG,MFFW,Brest,29,1992,9.2,489,4,42,231,231,31,488,24,49,49.0,21,16,353,42,Matches,1a248246
53,Haris Belkebla,dz ALG,MF,Brest,27,1994,25.7,1208,59,295,754,177,9,1208,30,41,73.2,33,18,736,21,Matches,2b1bed19
54,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,25.9,1394,43,269,765,387,42,1394,38,63,60.3,60,33,895,75,Matches,10f0fdd3
55,Jeanöel Belocian,fr FRA,DF,Rennes,16,2005,0.1,10,1,8,2,0,0,10,0,0,,0,0,9,0,Matches,c678ddd7
56,Hatem Ben Arfa,fr FRA,FWMF,Lille,34,1987,3.5,192,1,18,87,93,12,192,7,15,46.7,12,10,147,14,Matches,74dc806c
57,Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches,1f6298f2
58,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,932,3,31,332,575,188,924,25,57,43.9,62,45,706,245,Matches,942b4f90
59,Darío Benedetto,ar ARG,FWMF,Marseille,31,1990,0.6,20,0,0,11,10,4,20,0,2,0.0,1,0,13,2,Matches,bef0a7ac
60,Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,1110,928,1107,3,0,0,1110,0,0,,0,0,427,0,Matches,8a2248b4
61,Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,61,4,27,30,4,0,61,0,0,,1,1,35,0,Matches,f5b6fb78
62,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,1081,32,285,677,133,10,1081,20,31,64.5,33,9,735,15,Matches,3189f61a
63,Patrick Berg,no NOR,MF,Lens,23,1997,3.4,249,13,61,164,28,1,249,0,1,0.0,3,0,157,1,Matches,e4114f5d
64,Mitchell van Bergen,nl NED,FWMF,Reims,21,1999,10.9,320,7,46,108,173,27,320,14,23,60.9,35,7,190,46,Matches,0b2c9aec
65,Valon Berisha,xk KVX,MFFW,Reims,28,1993,5.1,235,4,40,111,85,10,235,3,5,60.0,11,7,133,14,Matches,d5575935
66,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,369,324,368,1,0,0,369,0,0,,1,0,106,0,Matches,28dabd43
67,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,640,524,637,3,0,0,640,0,0,,0,0,188,0,Matches,28dabd43
68,Juan Bernat,es ESP,DFMF,Paris S-G,28,1993,10.6,767,31,195,383,196,21,767,14,23,60.9,7,5,577,41,Matches,433dc9a2
69,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,9.3,334,301,334,0,0,0,334,0,0,,0,0,128,0,Matches,380a15e2
70,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,1550,22,262,859,446,33,1550,22,31,71.0,38,18,1184,70,Matches,03e91055
71,Giulian Biancone,fr FRA,DFMF,Troyes,21,2000,25.5,1582,108,633,649,319,38,1582,12,27,44.4,30,10,908,46,Matches,de40e38c
72,El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,486,20,71,224,194,47,485,8,19,42.1,31,13,332,66,Matches,47c609d5
73,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,577,60,320,239,18,10,577,2,3,66.7,4,1,380,1,Matches,a3e1d20d
74,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,0.1,11,0,3,5,4,0,11,0,1,0.0,0,0,8,2,Matches,0f697e02
75,Marco Bizot,nl NED,GK,Brest,30,1991,38.0,1318,1162,1313,4,1,1,1318,0,0,,0,0,449,0,Matches,3d214e5f
76,Ludovic Blas,fr FRA,MFFW,Nantes,23,1997,32.9,1508,16,170,785,589,89,1503,60,148,40.5,96,79,1076,151,Matches,6191093d
77,Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,276,2,16,108,154,64,276,8,16,50.0,46,12,206,71,Matches,5b479568
78,Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,1282,137,604,649,36,7,1282,2,4,50.0,4,0,904,3,Matches,2db2fd7b
79,Antonin Bobichon,fr FRA,MFFW,Angers,25,1995,0.4,21,0,2,14,5,0,21,0,1,0.0,0,1,13,2,Matches,7d937aa1
80,Quentin Boisgard,fr FRA,MFFW,Lorient,24,1997,10.6,522,9,93,233,204,13,522,11,23,47.8,33,20,319,51,Matches,f6496133
81,Charles Boli,fr FRA,MFDF,Lens,22,1998,0.4,22,0,2,14,6,1,22,0,0,,0,0,16,2,Matches,bbdd999a
82,Sven Botman,nl NED,DF,Lille,21,2000,25.0,1770,221,912,833,38,22,1770,5,5,100.0,9,2,1210,0,Matches,ccce7025
83,Denis Bouanga,ga GAB,FWMF,Saint-Étienne,26,1994,27.1,1254,51,179,532,569,136,1254,56,121,46.3,114,64,836,179,Matches,0b0cbe5b
84,Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18.0,876,26,155,438,294,39,876,22,42,52.4,41,23,594,68,Matches,f9d5908e
85,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,31,1990,25.0,1782,32,271,996,545,32,1781,55,81,67.9,50,43,1327,112,Matches,1001ae82
86,Sofiane Boufal,ma MAR,FWMF,Angers,27,1993,25.9,1422,8,82,703,661,104,1419,91,198,46.0,110,75,1089,157,Matches,b0c71810
87,Farid Boulaya,dz ALG,MFFW,Metz,28,1993,17.0,901,10,120,499,296,18,901,19,32,59.4,25,24,611,61,Matches,a0791826
88,Ismaëlben Boura,fr FRA,DF,Lens,20,2000,1.1,83,7,28,37,18,0,83,0,0,,0,0,55,0,Matches,62e02107
89,Benjamin Bourigeaud,fr FRA,FWMF,Rennes,27,1994,35.5,2239,60,266,996,992,92,2239,9,21,42.9,41,20,1521,183,Matches,20e73fac
90,Redwan Bourles,fr FRA,MFFW,Lorient,18,2003,0.2,7,0,1,1,5,0,7,0,0,,1,1,6,2,Matches,5c7895a0
91,Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,338,14,95,151,95,2,338,2,5,40.0,5,4,196,12,Matches,8bbe2df5
92,Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,214,1,21,79,120,15,214,3,10,30.0,11,10,155,26,Matches,02bcaf8e
93,Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,137,0,16,51,71,12,137,11,20,55.0,16,12,112,26,Matches,02bcaf8e
94,Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,1521,167,762,673,97,22,1521,5,16,31.3,20,4,933,13,Matches,5b146df3
95,Jimmy Briand,fr FRA,FWMF,Bordeaux,35,1985,2.5,109,3,17,45,47,15,107,1,4,25.0,9,2,71,24,Matches,f83c8d6c
96,Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,1422,132,729,653,55,14,1422,6,8,75.0,9,5,851,1,Matches,edd81e2a
