,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
493,Nemanja Radonjić,rs SRB,FW,Marseille,25,1996,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.94,0.94,0.00,0.94,Matches,0630eb63
494,Rafinha,br BRA,FWMF,Paris S-G,28,1993,5,3,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.16,0.04,0.20,0.16,0.20,Matches,0c2ac3cb
495,Predrag Rajković,rs SRB,GK,Reims,25,1995,38,38,3420,38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,58ad9383
496,Adil Rami,fr FRA,DF,Troyes,35,1985,17,14,1171,13.0,3,0,3,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07,Matches,8dbff17c
497,Sergio Ramos,es ESP,DF,Paris S-G,35,1986,12,8,801,8.9,2,0,2,0,0,3,1,0.22,0.00,0.22,0.22,0.22,2.1,2.1,0.0,2.1,0.24,0.00,0.24,0.24,0.24,Matches,08511d65
498,Elba Rashani,xk KVX,FWMF,Clermont Foot,28,1993,29,22,1759,19.5,8,3,8,0,0,3,0,0.41,0.15,0.56,0.41,0.56,5.1,5.1,2.6,7.7,0.26,0.13,0.39,0.26,0.39,Matches,25749008
499,Jeff Reine-Adélaïde,fr FRA,MFDF,Lyon,23,1998,10,1,198,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.5,0.5,1.2,1.8,0.25,0.56,0.81,0.25,0.81,Matches,d504b3e1
500,Tiago Ribeiro,pt POR,FW,Monaco,19,2002,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,507d7569
501,Sergio Rico,es ESP,GK,Paris S-G,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5f0241b2
502,Renaud Ripart,fr FRA,MFFW,Troyes,28,1993,28,22,1893,21.0,2,2,2,0,0,2,0,0.10,0.10,0.19,0.10,0.19,4.1,4.1,2.2,6.3,0.19,0.11,0.30,0.19,0.30,Matches,beae3a73
503,Mihailo Ristić,rs SRB,DF,Montpellier,25,1995,29,19,1803,20.0,1,3,1,0,0,3,1,0.05,0.15,0.20,0.05,0.20,0.7,0.7,1.5,2.2,0.04,0.07,0.11,0.04,0.11,Matches,ea0aa7e0
504,Maxence Rivera,fr FRA,FW,Saint-Étienne,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,46a7b605
