,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
291,Marin Jakoliš,hr CRO,FW,Angers,24,1996,2.5,8,3.14,4,0,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches,96f4ebc0
292,Abdel Jalil Medioub,dz ALG,DF,Bordeaux,23,1997,6.9,1,0.14,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,4937a9f7
293,Corentin Jean,fr FRA,FWMF,Lens,26,1995,2.8,8,2.81,5,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,7d9b37bf
294,Jemerson,br BRA,DF,Metz,28,1992,13.4,5,0.37,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,7cab69b5
295,Moritz Jenz,de GER,DF,Lorient,22,1999,15.3,9,0.59,7,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,ee644761
296,Lenny Joseph,fr FRA,FWMF,Metz,20,2000,1.7,1,0.58,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,d1828392
297,Issa Kaboré,bf BFA,DF,Troyes,20,2001,25.0,51,2.04,33,3,8,0,6,1,2,0.08,2,0,0,0,0,0,Matches,c066d1a5
298,Tino Kadewere,zw ZIM,FW,Lyon,25,1996,5.6,15,2.67,11,0,2,2,0,0,0,0.00,0,0,0,0,0,0,Matches,7d08063d
299,Gaël Kakuta,cd COD,MFFW,Lens,30,1991,18.6,50,2.69,35,1,6,5,2,1,4,0.22,2,0,1,1,0,0,Matches,5b1bf5e3
300,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bf4c41f9
301,Arnaud Kalimuendo,fr FRA,FW,Lens,19,2002,23.9,54,2.26,40,0,4,5,3,2,6,0.25,3,0,2,1,0,0,Matches,bf4c41f9
302,Samuel Kalu,ng NGA,FWMF,Bordeaux,23,1997,3.6,11,3.02,2,2,4,3,0,0,4,1.10,0,1,1,2,0,0,Matches,b8d22478
303,Boubacar Kamara,fr FRA,MFDF,Marseille,21,1999,30.9,54,1.75,43,1,0,3,6,1,5,0.16,3,0,0,1,1,0,Matches,cc77354e
304,Hassane Kamara,ci CIV,MFDF,Nice,27,1994,6.0,7,1.16,6,0,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches,19a12bed
305,Jean-Armel Kana-Biyik,cm CMR,DF,Metz,32,1989,7.4,2,0.27,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,76a4233b
306,Nordine Kandil,fr FRA,MFFW,Strasbourg,19,2001,1.0,5,5.00,4,0,0,0,1,0,3,3.00,2,0,0,0,1,0,Matches,c5908bc4
