,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
174,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,19,2001,6.4,17,9,9,5,3,5,8,62.5,3,3,0,3,9,26,0,0,Matches,bed68338
175,Radamel Falcao,co COL,FW,Rayo Vallecano,35,1986,9.3,2,1,0,1,1,1,4,25.0,3,4,1,3,2,4,11,0,Matches,66116290
176,Fali,es ESP,DFMF,Cádiz,27,1993,20.0,32,19,24,8,0,17,32,53.1,15,26,16,10,24,56,82,0,Matches,72a84002
177,Omar Faraj,se SWE,FW,Levante,19,2002,0.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,de627c8a
178,Ansu Fati,es ESP,FW,Barcelona,18,2002,3.7,3,2,0,2,1,1,1,100.0,0,4,0,4,1,4,0,0,Matches,0ba976e4
179,Aleix Febas,es ESP,MF,Mallorca,25,1996,1.3,4,1,0,4,0,2,4,50.0,2,0,0,0,0,4,0,0,Matches,38126309
180,Nabil Fekir,fr FRA,MF,Betis,28,1993,31.0,43,29,5,25,13,7,36,19.4,29,14,0,14,7,50,7,0,Matches,bece776f
181,Felipe,br BRA,DF,Atlético Madrid,32,1989,16.7,20,15,11,8,1,8,18,44.4,10,17,11,6,28,48,77,0,Matches,51a3c4c8
182,João Félix,pt POR,FWMF,Atlético Madrid,21,1999,14.0,5,2,1,4,0,1,5,20.0,4,4,1,3,7,12,8,0,Matches,8aafd64f
183,Aitor Fernández,es ESP,GK,Levante,30,1991,13.0,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,7,0,Matches,a01c3d54
184,Álex Fernández,es ESP,MF,Cádiz,28,1992,22.8,47,31,22,17,8,21,61,34.4,40,30,7,23,30,77,31,0,Matches,aa677a35
185,Fernando,br BRA,MFDF,Sevilla,34,1987,20.6,24,17,14,9,1,12,33,36.4,21,21,13,8,29,53,32,2,Matches,41f32541
186,Fidel,es ESP,MF,Elche,31,1989,25.1,44,23,18,17,9,14,57,24.6,43,9,1,8,7,51,20,0,Matches,eb82b6f1
187,José Fontán,es ESP,DF,Celta Vigo,21,2000,3.1,5,3,3,2,0,1,5,20.0,4,3,1,2,10,15,10,0,Matches,1827a42d
188,Dimitri Foulquier,fr FRA,DF,Granada,28,1993,2.0,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0,Matches,45e17712
189,Dimitri Foulquier,fr FRA,DF,Valencia,28,1993,26.0,36,17,17,15,4,21,34,61.8,13,19,3,16,29,65,49,0,Matches,45e17712
190,Juan Foyth,ar ARG,DF,Villarreal,23,1998,21.4,69,49,35,28,6,35,47,74.5,12,29,7,22,20,89,50,0,Matches,6c7762c3
191,Enric Franquesa,es ESP,DFFW,Levante,24,1997,6.9,5,3,4,0,1,0,1,0.0,1,4,0,4,7,12,11,0,Matches,40883e3a
192,Jorge de Frutos,es ESP,MFFW,Levante,24,1997,19.6,33,15,14,11,8,10,51,19.6,41,11,1,10,12,45,13,0,Matches,38ce1150
193,Javi Galán,es ESP,DF,Celta Vigo,26,1994,36.6,108,66,60,37,11,42,99,42.4,57,48,8,40,45,153,52,0,Matches,a4b00319
194,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,27,1993,15.3,40,21,14,21,5,14,30,46.7,16,16,2,14,20,60,21,0,Matches,91f7631f
195,Thiago Galhardo,br BRA,FWMF,Celta Vigo,32,1989,12.8,12,6,3,3,6,2,12,16.7,10,15,2,13,6,18,9,0,Matches,766f48dd
196,Álvaro García,es ESP,FWMF,Rayo Vallecano,28,1992,33.3,42,23,15,18,9,8,35,22.9,27,27,3,24,42,84,24,0,Matches,90bbd822
197,Dani García,es ESP,MF,Athletic Club,31,1990,24.2,36,22,15,17,4,14,47,29.8,33,27,10,17,24,60,41,1,Matches,240d3a0b
198,David García,es ESP,DF,Osasuna,27,1994,34.5,28,14,15,11,2,12,22,54.5,10,27,21,6,52,80,168,0,Matches,3e42f707
199,Eric García,es ESP,DF,Barcelona,20,2001,22.7,27,18,13,13,1,11,26,42.3,15,22,12,10,44,71,53,3,Matches,2bed3eab
200,Francisco Garcia,es ESP,DF,Rayo Vallecano,21,1999,33.6,60,35,44,12,4,39,73,53.4,34,34,8,26,45,105,53,0,Matches,7226539b
201,Joan García,es ESP,GK,Espanyol,20,2001,1.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,2,Matches,87b498b0
202,Manu García,es ESP,MF,Alavés,23,1998,12.0,18,9,6,9,3,9,27,33.3,18,8,2,6,13,31,4,0,Matches,6ed1a2a2
203,Raúl García,es ESP,FW,Athletic Club,35,1986,20.0,27,17,6,11,10,8,36,22.2,28,30,4,26,9,36,21,0,Matches,b418dbd4
204,Rubén García,es ESP,MFFW,Osasuna,28,1993,26.4,43,26,12,23,8,16,49,32.7,33,31,4,27,24,67,16,0,Matches,5c96b017
205,Saúl García,es ESP,MF,Alavés,26,1994,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,dafa5038
206,Unai García,es ESP,DF,Osasuna,29,1992,15.6,21,12,14,6,1,14,17,82.4,3,19,11,8,22,43,78,0,Matches,4a633cfe
207,Mario Gaspar,es ESP,DF,Villarreal,30,1990,6.9,10,4,2,5,3,6,10,60.0,4,6,3,3,6,16,15,0,Matches,fb5d47b3
208,Gavi,es ESP,MFFW,Barcelona,16,2004,25.7,38,18,13,18,7,9,33,27.3,24,36,0,36,25,63,13,0,Matches,19cae58d
209,Óscar Gil,es ESP,DF,Espanyol,23,1998,18.8,52,35,27,20,5,25,46,54.3,21,33,9,24,19,71,33,2,Matches,6652cf96
210,Mario Gila,es ESP,DF,Real Madrid,20,2000,0.3,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,1,0,Matches,9c435456
211,Dani Gómez,es ESP,FW,Levante,23,1998,11.8,7,4,3,2,2,4,12,33.3,8,3,0,3,3,10,5,0,Matches,0e5ddc7c
212,Maxi Gómez,uy URU,FW,Valencia,24,1996,21.7,5,3,1,2,2,5,8,62.5,3,5,1,4,3,8,22,0,Matches,4c2e9442
213,Moi Gómez,es ESP,MFFW,Villarreal,27,1994,14.3,15,7,8,3,4,5,17,29.4,12,5,0,5,6,21,6,0,Matches,5a626448
214,Papu Gómez,ar ARG,FWMF,Sevilla,33,1988,19.8,19,11,9,5,5,9,35,25.7,26,15,2,13,7,26,12,2,Matches,6e4df551
215,Sergi Gómez,es ESP,DF,Espanyol,29,1992,30.2,33,24,29,3,1,18,27,66.7,9,33,23,10,40,73,125,2,Matches,bc6f5f06
216,Maxime Gonalons,fr FRA,MF,Granada,32,1989,17.2,43,28,17,22,4,14,39,35.9,25,33,10,23,18,61,29,0,Matches,b8c1de25
217,Diego González,es ESP,DF,Elche,26,1995,19.9,25,16,18,7,0,9,16,56.3,7,21,13,8,19,44,87,0,Matches,4ac7608e
218,Édgar González,es ESP,DF,Betis,24,1997,16.3,25,19,15,8,2,17,24,70.8,7,17,11,6,23,48,82,0,Matches,49d028db
219,Giovanni González,uy URU,DF,Mallorca,26,1994,4.1,9,3,4,4,1,3,5,60.0,2,7,2,5,4,13,14,0,Matches,1fc474ae
220,Nicolás González,es ESP,MF,Barcelona,19,2002,12.4,31,20,5,23,3,11,27,40.7,16,12,0,12,6,37,12,0,Matches,2c56a792
221,Peter González,do DOM,MFDF,Real Madrid,19,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,1ccd3dae
222,Roberto González,es ESP,FWMF,Betis,20,2001,1.5,5,4,3,2,0,4,6,66.7,2,5,0,5,1,6,1,0,Matches,56545648
223,Gori,es ESP,MF,Espanyol,19,2002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,f3451c66
224,Andoni Gorosabel,es ESP,DF,Real Sociedad,24,1996,25.4,47,31,32,9,6,25,47,53.2,22,16,3,13,18,65,49,0,Matches,6f5f82c0
225,Jaume Grau,es ESP,MF,Osasuna,24,1997,0.0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches,fc3d2006
226,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,30061f53
227,Clément Grenier,fr FRA,MF,Mallorca,30,1991,0.7,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Matches,8b298f56
228,Antoine Griezmann,fr FRA,FW,Barcelona,30,1991,2.9,13,5,3,10,0,2,6,33.3,4,4,0,4,3,16,5,0,Matches,df69b544
229,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,30,1991,18.8,30,14,11,15,4,12,32,37.5,20,18,1,17,7,37,18,0,Matches,df69b544
230,Arnaut Groeneveld,nl NED,FW,Villarreal,24,1997,16.4,7,6,3,0,4,2,4,50.0,2,5,0,5,2,9,3,0,Matches,f08490a6
231,Andrés Guardado,mx MEX,MF,Betis,34,1986,15.5,30,13,12,17,1,13,34,38.2,21,18,4,14,21,51,29,1,Matches,ef322658
232,Sergi Guardiola,es ESP,FW,Rayo Vallecano,30,1991,19.0,10,9,3,5,2,1,21,4.8,20,14,2,12,4,14,17,0,Matches,32974271
233,Nemanja Gudelj,rs SRB,DFMF,Sevilla,29,1991,11.6,16,7,10,4,2,5,8,62.5,3,14,9,5,22,38,37,0,Matches,0076ab7f
234,Gonçalo Guedes,pt POR,FWMF,Valencia,24,1996,29.0,21,14,6,7,8,2,22,9.1,20,14,0,14,9,30,1,0,Matches,e6bc67d7
235,Ander Guevara,es ESP,MF,Real Sociedad,24,1997,9.6,18,13,6,10,2,10,17,58.8,7,12,6,6,12,30,8,0,Matches,8e48dc61
236,John Guidetti,se SWE,FWMF,Alavés,29,1992,3.1,2,1,0,0,2,0,1,0.0,1,1,0,1,0,2,0,0,Matches,99bebd12
237,Hugo Guillamón,es ESP,MFDF,Valencia,21,2000,26.2,43,27,20,16,7,18,44,40.9,26,26,10,16,30,73,53,1,Matches,f7c12fbf
238,Gerard Gumbau,es ESP,MF,Elche,26,1994,21.0,46,19,22,19,5,22,51,43.1,29,18,4,14,23,69,25,0,Matches,ac454a4f
239,Jon Guridi,es ESP,MF,Real Sociedad,26,1995,2.3,5,3,2,3,0,1,4,25.0,3,3,1,2,3,8,4,0,Matches,4c0a6a48
240,Raúl Guti,es ESP,MF,Elche,24,1996,18.1,25,15,7,14,4,10,30,33.3,20,9,3,6,25,50,7,0,Matches,0b2c8585
241,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,30,1991,1.5,1,0,0,1,0,0,2,0.0,2,2,1,1,1,2,9,0,Matches,b3b62f94
242,Miguel Gutiérrez,es ESP,DF,Real Madrid,20,2001,2.9,7,5,5,0,2,3,5,60.0,2,0,0,0,2,9,2,0,Matches,7e98cff1
243,Munir El Haddadi,ma MAR,FWMF,Sevilla,25,1995,5.3,8,4,1,6,1,2,8,25.0,6,7,1,6,5,13,2,0,Matches,8696bc90
244,Varazdat Haroyan,am ARM,DF,Cádiz,28,1992,16.0,31,21,20,10,1,19,29,65.5,10,22,12,10,15,46,62,0,Matches,be32269e
245,Eden Hazard,be BEL,FWMF,Real Madrid,30,1991,8.0,6,3,3,2,1,3,7,42.9,4,3,0,3,2,8,0,0,Matches,a39bb753
246,Kike Hermoso,es ESP,DF,Betis,21,1999,1.0,2,1,2,0,0,2,2,100.0,0,2,1,1,0,2,5,1,Matches,dea912dc
247,Mario Hermoso,es ESP,DF,Atlético Madrid,26,1995,20.7,30,15,23,4,3,20,38,52.6,18,18,3,15,29,59,49,2,Matches,555f3a0b
248,Aridane Hernández,gq EQG,DF,Osasuna,32,1989,12.9,12,9,10,2,0,3,13,23.1,10,11,9,2,20,32,71,0,Matches,132ac341
249,Luis Hernández,es ESP,DF,Cádiz,32,1989,15.2,9,5,9,0,0,5,8,62.5,3,5,3,2,16,25,34,0,Matches,02d2c436
250,Mario Hernández,es ESP,DFFW,Rayo Vallecano,22,1999,4.4,10,4,7,3,0,5,9,55.6,4,1,0,1,4,14,7,0,Matches,90162357
251,Héctor Herrera,mx MEX,MF,Atlético Madrid,31,1990,9.5,16,8,11,4,1,7,20,35.0,13,13,2,11,12,28,16,0,Matches,a8542814
252,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36.0,3,2,3,0,0,3,6,50.0,3,1,0,1,1,4,18,0,Matches,a4995f48
253,Yangel Herrera,ve VEN,MF,Espanyol,23,1998,18.3,41,31,19,19,3,18,39,46.2,21,27,5,22,19,60,33,1,Matches,e778654a
254,Matthew Hoppe,us USA,FWMF,Mallorca,20,2001,1.5,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,0,0,Matches,1bc432b7
255,Robert Ibáñez,es ESP,MFFW,Osasuna,28,1993,1.0,3,3,2,0,1,1,2,50.0,1,1,0,1,1,4,1,0,Matches,c7429db3
256,Vicente Iborra,es ESP,MF,Villarreal,33,1988,11.5,19,10,9,7,3,12,24,50.0,12,11,5,6,11,30,27,1,Matches,ad1ffcfd
257,Oussama Idrissi,ma MAR,MFFW,Sevilla,25,1996,1.4,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0,Matches,34caa4b3
258,Oussama Idrissi,ma MAR,MF,Cádiz,25,1996,10.0,8,4,3,4,1,4,15,26.7,11,8,0,8,3,11,5,0,Matches,34caa4b3
259,Iglesias,es ESP,DF,Getafe,23,1998,8.0,19,10,11,8,0,7,17,41.2,10,8,2,6,10,29,28,0,Matches,974322dc
260,Borja Iglesias,es ESP,FW,Betis,28,1993,17.5,6,4,1,2,3,0,8,0.0,8,11,1,10,4,10,7,0,Matches,75645f0e
261,Asier Illarramendi,es ESP,MF,Real Sociedad,31,1990,4.2,9,5,5,3,1,1,10,10.0,9,5,1,4,4,13,12,0,Matches,5ce0b5ba
262,Nikita Iosifov,ru RUS,MF,Villarreal,20,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,4c2fa917
263,Alexander Isak,se SWE,FW,Real Sociedad,21,1999,23.8,7,4,1,3,3,2,12,16.7,10,14,2,12,3,10,10,0,Matches,8e92be30
264,Isco,es ESP,MFFW,Real Madrid,29,1992,3.7,9,5,4,4,1,5,12,41.7,7,1,0,1,2,11,1,0,Matches,a0b4bb3e
265,Nicolas Jackson,sn SEN,FWMF,Villarreal,20,2001,1.8,2,0,1,0,1,0,0,,0,0,0,0,1,3,1,0,Matches,9c36ed83
266,Jakub Jankto,cz CZE,DFMF,Getafe,25,1996,6.5,11,7,5,5,1,10,17,58.8,7,4,0,4,4,15,7,0,Matches,1ea5f91c
267,Adnan Januzaj,be BEL,FWMF,Real Sociedad,26,1995,18.1,17,11,5,8,4,9,24,37.5,15,15,3,12,12,29,15,0,Matches,4737cebe
268,Jason,es ESP,MFFW,Alavés,27,1994,7.5,11,7,6,4,1,7,20,35.0,13,7,0,7,7,18,5,0,Matches,9038c2a1
269,Jason,es ESP,MFDF,Valencia,27,1994,0.8,4,1,2,1,1,0,1,0.0,1,2,0,2,1,5,1,0,Matches,9038c2a1
270,Luis Javier Suárez,co COL,FW,Granada,23,1997,31.6,26,14,9,9,8,8,27,29.6,19,25,3,22,6,32,23,0,Matches,eeba07f8
271,Álvaro Jiménez,es ESP,MFFW,Cádiz,26,1995,2.6,6,3,3,2,1,4,7,57.1,3,3,0,3,3,9,0,0,Matches,5f5501ed
272,Joaquín,es ESP,FWMF,Betis,40,1981,5.2,6,2,4,2,0,3,8,37.5,5,5,2,3,3,9,10,0,Matches,4c5b14d2
273,Jofre,es ESP,MFDF,Espanyol,20,2001,0.2,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches,030ef8d6
274,Frenkie de Jong,nl NED,MF,Barcelona,24,1997,27.5,35,19,12,18,5,12,23,52.2,11,19,5,14,20,55,16,0,Matches,1bacc518
275,Luuk de Jong,nl NED,FW,Barcelona,30,1990,7.3,9,7,1,5,3,1,2,50.0,1,4,0,4,0,9,12,0,Matches,abb3bb95
276,Joan Jordán,es ESP,MF,Sevilla,27,1994,27.9,61,30,22,31,8,28,65,43.1,37,27,6,21,30,91,18,1,Matches,2a0c8ba4
277,Josan,es ESP,DFMF,Elche,31,1989,13.5,36,22,23,9,4,26,44,59.1,18,11,4,7,10,46,21,0,Matches,5b28b2f6
278,Willian José,br BRA,FW,Betis,29,1991,17.8,15,13,2,10,3,2,8,25.0,6,10,2,8,3,18,16,0,Matches,d87e2cae
279,Joselu,es ESP,FW,Alavés,31,1990,34.7,16,11,1,9,6,7,25,28.0,18,21,4,17,7,23,45,0,Matches,6265208f
280,Josema,es ESP,DF,Elche,25,1996,2.0,3,2,1,1,1,0,2,0.0,2,1,1,0,0,3,11,0,Matches,ed3f5f4c
281,Luka Jović,rs SRB,FW,Real Madrid,23,1997,4.1,1,1,0,1,0,0,1,0.0,1,3,0,3,1,2,4,0,Matches,4d8cd038
282,Miguel Juan Llambrich,es ESP,DF,Espanyol,25,1996,0.8,2,2,1,1,0,0,0,,0,1,0,1,0,2,5,0,Matches,d83f09ff
283,José Juan Macías,mx MEX,FWMF,Getafe,21,1999,2.2,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,Matches,1f1c8a15
284,Juanmi,es ESP,FW,Betis,28,1993,23.7,39,25,11,19,9,19,49,38.8,30,24,1,23,9,48,10,1,Matches,84399660
285,Lago Junior,ci CIV,FWMF,Mallorca,30,1990,2.0,3,2,3,0,0,3,5,60.0,2,0,0,0,2,5,2,0,Matches,360d70f8
286,Vinicius Júnior,br BRA,FW,Real Madrid,21,2000,29.9,46,24,23,19,4,15,50,30.0,35,25,0,25,6,52,6,0,Matches,7111d552
287,Jutglà,es ESP,FW,Barcelona,22,1999,3.3,2,1,0,1,1,0,1,0.0,1,2,0,2,1,3,1,0,Matches,2a9f6b4d
288,Jens Jønsson,dk DEN,MF,Cádiz,28,1993,14.5,40,29,22,17,1,17,35,48.6,18,17,7,10,34,74,32,0,Matches,53520a67
289,Lee Kangin,kr KOR,MFFW,Mallorca,20,2001,15.7,13,6,2,9,2,5,29,17.2,24,11,1,10,5,18,7,0,Matches,8455ad90
290,Kike,es ESP,FW,Osasuna,31,1989,20.7,11,7,3,4,4,3,23,13.0,20,10,1,9,3,14,12,0,Matches,e897d8ba
291,Koba Koindredi,fr FRA,MF,Valencia,19,2001,2.0,4,3,2,1,1,2,6,33.3,4,3,0,3,4,8,5,0,Matches,3a58d075
292,Koke,es ESP,MF,Atlético Madrid,29,1992,27.9,55,30,19,29,7,26,63,41.3,37,21,5,16,24,79,31,1,Matches,55126f3b
293,Luca Koleosho,ca CAN,FW,Espanyol,16,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,fc076f78
294,Geoffrey Kondogbia,cf CTA,MFDF,Atlético Madrid,28,1993,20.9,74,44,25,40,9,21,49,42.9,28,16,5,11,44,118,24,0,Matches,cce181df
295,Jules Koundé,fr FRA,DF,Sevilla,22,1998,30.4,40,17,27,10,3,18,28,64.3,10,33,18,15,21,61,101,2,Matches,4d1666ff
296,Toni Kroos,de GER,MF,Real Madrid,31,1990,23.4,34,26,13,17,4,14,36,38.9,22,16,3,13,12,46,13,1,Matches,6ce1f46f
297,Takefusa Kubo,jp JPN,FWMF,Mallorca,20,2001,17.8,31,19,12,14,5,10,24,41.7,14,24,3,21,8,39,4,0,Matches,16aa3654
298,Víctor Laguardia,es ESP,DF,Alavés,31,1989,33.8,29,16,21,8,0,19,30,63.3,11,36,24,12,27,56,151,1,Matches,b7c99b9b
299,Diego Lainez,mx MEX,FW,Betis,21,2000,1.6,1,1,0,1,0,0,3,0.0,3,3,0,3,1,2,0,0,Matches,bf12926c
300,Érik Lamela,ar ARG,FWMF,Sevilla,29,1992,11.3,31,18,12,14,5,10,29,34.5,19,11,0,11,5,36,3,0,Matches,abe66106
301,Latasa,es ESP,FW,Real Madrid,20,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2bea832e
302,Toni Lato,es ESP,DF,Valencia,23,1997,6.6,17,12,12,3,2,9,16,56.3,7,6,0,6,8,25,14,0,Matches,8e088e04
303,Robin Le Normand,fr FRA,DF,Real Sociedad,24,1996,37.0,49,32,36,8,5,28,36,77.8,8,34,22,12,48,97,125,0,Matches,9a64e67e
304,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38.0,3,1,3,0,0,3,4,75.0,1,0,0,0,1,4,21,4,Matches,6c4776b1
305,Wu Lei,cn CHN,FWMF,Espanyol,29,1991,5.3,3,2,1,2,0,3,8,37.5,5,4,0,4,4,7,3,0,Matches,e3fabb0a
306,Florian Lejeune,fr FRA,DF,Alavés,30,1991,30.0,33,24,22,10,1,12,20,60.0,8,30,19,11,31,64,158,0,Matches,6eaed4eb
307,Iñigo Lekue,es ESP,DF,Athletic Club,28,1993,21.4,32,23,16,12,4,22,44,50.0,22,37,12,25,23,55,63,0,Matches,59b7d823
308,Thomas Lemar,fr FRA,MF,Atlético Madrid,25,1995,16.0,24,14,9,12,3,8,23,34.8,15,18,0,18,8,32,11,0,Matches,4dbd0916
309,Ruben Lendinez,es ESP,DF,Valencia,18,2003,1.5,3,3,1,2,0,3,8,37.5,5,4,0,4,2,5,6,0,Matches,755da865
310,Clément Lenglet,fr FRA,DF,Barcelona,26,1995,9.2,20,11,11,7,2,8,13,61.5,5,7,3,4,13,33,21,0,Matches,4f28a6ff
311,Javier Llabrés,,FWMF,Mallorca,,,1.5,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,0,0,Matches,38b0cf42
312,Marcos Llorente,es ESP,MFDF,Atlético Madrid,26,1995,27.2,51,23,25,22,4,28,43,65.1,15,33,10,23,27,78,44,0,Matches,02c15616
313,Giovani Lo Celso,ar ARG,FWMF,Villarreal,25,1996,11.0,22,12,8,10,4,9,22,40.9,13,4,0,4,5,27,3,0,Matches,d7553721
314,Julen Lobete,es ESP,FWMF,Real Sociedad,20,2000,3.2,4,3,3,0,1,1,2,50.0,1,6,1,5,1,5,1,0,Matches,a952a529
315,Renan Lodi,br BRA,DF,Atlético Madrid,23,1998,13.1,31,18,14,13,4,11,27,40.7,16,22,4,18,13,44,19,1,Matches,ed9f7cfe
316,David López,es ESP,MFDF,Espanyol,31,1989,8.3,18,13,9,8,1,9,16,56.3,7,10,8,2,10,28,25,2,Matches,f03f284b
317,Diego López,es ESP,GK,Espanyol,39,1981,35.3,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,21,1,Matches,73683fa9
318,Javi López,es ESP,DF,Alavés,19,2002,5.1,8,6,6,2,0,4,6,66.7,2,7,1,6,4,12,15,0,Matches,e9ada8cf
319,Unai López,es ESP,MF,Rayo Vallecano,25,1995,12.9,19,9,6,10,3,10,33,30.3,23,7,0,7,10,29,8,1,Matches,88050721
320,Anthony Lozano,hn HON,FWMF,Cádiz,28,1993,18.6,8,4,2,3,3,5,18,27.8,13,16,2,14,2,10,7,0,Matches,38699c72
321,Florentino Luís,pt POR,MF,Getafe,21,1999,11.0,42,25,22,17,3,17,35,48.6,18,21,2,19,21,63,11,1,Matches,881cd6be
322,José Luis Gayà,es ESP,DF,Valencia,26,1995,20.8,35,21,24,10,1,16,34,47.1,18,17,3,14,19,54,37,0,Matches,b05e2dbd
323,José Luis Morales,es ESP,FWMF,Levante,34,1987,30.2,27,17,6,9,12,12,42,28.6,30,29,0,29,4,31,7,0,Matches,4a478107
324,Luismi,es ESP,FWMF,Sevilla,20,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,acf5410c
325,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,3061e1ec
326,Darwin Machís,ve VEN,MFFW,Granada,28,1993,15.3,23,13,11,8,4,9,23,39.1,14,10,0,10,15,38,17,0,Matches,ed6ea4d9
327,Pablo Maffeo,es ESP,DF,Mallorca,24,1997,32.7,84,47,48,28,8,38,69,55.1,31,30,13,17,46,130,74,0,Matches,5db04597
328,Nemanja Maksimović,rs SRB,MF,Getafe,26,1995,32.6,56,32,24,26,6,18,49,36.7,31,42,13,29,71,127,41,0,Matches,00b28772
329,Hugo Mallo,es ESP,DF,Celta Vigo,30,1991,20.3,45,25,24,19,2,16,31,51.6,15,23,9,14,20,65,53,0,Matches,cb574619
330,Mickael Malsa,mq MTQ,MF,Levante,25,1995,12.7,37,17,16,18,3,15,42,35.7,27,20,8,12,18,55,15,0,Matches,bbc19252
331,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Matches,d4b73232
332,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,27,1994,14.4,45,25,30,14,1,22,30,73.3,8,18,9,9,21,66,38,0,Matches,c20bdcd7
333,Aïssa Mandi,dz ALG,DF,Villarreal,29,1991,15.3,11,5,2,8,1,3,6,50.0,3,17,14,3,13,24,49,3,Matches,fbd6378b
334,Maranhão,br BRA,FWMF,Valencia,24,1996,10.8,15,11,4,6,5,5,16,31.3,11,15,0,15,7,22,13,0,Matches,ae86d473
335,Nikola Maraš,rs SRB,DF,Rayo Vallecano,25,1995,11.6,13,9,12,1,0,9,15,60.0,6,17,13,4,15,28,51,0,Matches,b9d0446f
336,Marcelo,br BRA,DF,Real Madrid,33,1988,5.8,8,4,2,3,3,5,10,50.0,5,7,2,5,1,9,11,0,Matches,603116a7
337,Iván Marcone,ar ARG,MF,Elche,31,1990,9.0,24,14,17,6,1,12,24,50.0,12,8,3,5,12,36,13,0,Matches,b14f755d
338,Óscar de Marcos,es ESP,DF,Athletic Club,32,1989,18.7,50,37,24,19,7,28,43,65.1,15,20,3,17,19,69,27,0,Matches,9f323c71
339,José Mari,es ESP,MF,Cádiz,33,1987,4.3,14,7,3,10,1,7,8,87.5,1,4,1,3,7,21,2,0,Matches,6f4c734d
340,José María Giménez,uy URU,DF,Atlético Madrid,26,1995,22.7,18,12,12,6,0,8,16,50.0,8,25,19,6,25,43,96,1,Matches,f0da930c
341,Mariano,do DOM,FW,Real Madrid,27,1993,3.8,2,0,2,0,0,0,0,,0,2,0,2,1,3,3,0,Matches,5c4dc0ff
342,Mika Màrmol,es ESP,DF,Barcelona,20,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,e7630876
343,Roger Martí,es ESP,FW,Levante,30,1991,23.5,23,14,3,13,7,8,30,26.7,22,14,0,14,2,25,8,0,Matches,0ae4e09a
344,Anthony Martial,fr FRA,FWMF,Sevilla,25,1995,5.4,2,1,0,0,2,2,6,33.3,4,4,0,4,0,2,3,0,Matches,8b788c01
345,Martín,es ESP,MF,Cádiz,22,1999,1.3,2,2,0,2,0,0,0,,0,1,0,1,1,3,3,0,Matches,cbec0059
346,Ander Martin,es ESP,FWMF,Real Sociedad,20,2000,1.0,1,0,0,1,0,1,1,100.0,0,0,0,0,3,4,1,0,Matches,e1e75690
347,Andrés Martín,es ESP,FWMF,Rayo Vallecano,22,1999,2.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches,2ae30661
348,Carlos Martín,es ESP,DF,Atlético Madrid,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,64035864
349,Iván Martín,es ESP,MFFW,Alavés,22,1999,1.8,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,1,0,Matches,ae48c5cb
