,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
588,Jesus Vazquez,es ESP,DF,Valencia,18,2003,9.0,19,2.10,11,2,2,1,0,3,1,0.11,1,0,0,0,0,0,Matches,106c142c
589,Kevin Vázquez,es ESP,DF,Celta Vigo,28,1993,14.8,30,2.04,24,1,1,1,2,1,2,0.14,2,0,0,0,0,0,Matches,ee923664
590,Lucas Vázquez,es ESP,DF,Real Madrid,30,1991,20.4,58,2.85,47,3,2,1,3,2,2,0.10,2,0,0,0,0,0,Matches,fd51b456
591,Gabriel Veiga,es ESP,MF,Celta Vigo,19,2002,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,35a6e5c7
592,Unai Vencedor Paris,es ESP,MF,Athletic Club,20,2000,26.5,47,1.78,40,1,1,0,1,4,3,0.11,1,0,0,0,1,1,Matches,4112ace5
593,Gonzalo Verdú,es ESP,DF,Elche,32,1988,15.5,3,0.20,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,1c2c55fc
594,Mikel Vesga,es ESP,MF,Athletic Club,28,1993,15.1,29,1.92,28,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,b0fce72c
595,Rúben Vezo,pt POR,DF,Levante,27,1994,26.9,18,0.67,12,0,0,4,1,1,3,0.11,1,0,0,1,1,0,Matches,c67cd65c
596,Aleix Vidal,es ESP,DFMF,Espanyol,31,1989,21.1,59,2.79,41,7,5,0,4,2,3,0.14,2,0,1,0,0,0,Matches,04965583
597,Nacho Vidal,es ESP,DF,Osasuna,26,1995,32.2,66,2.05,46,5,5,2,6,2,5,0.16,3,1,0,0,1,0,Matches,3a9c4b7b
598,Dídac Vilà,es ESP,DFMF,Espanyol,32,1989,2.3,5,2.21,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,bad38a94
599,Tonny Vilhena,nl NED,MFFW,Espanyol,26,1995,10.3,19,1.84,12,5,0,1,1,0,1,0.10,0,1,0,0,0,0,Matches,c7069d87
600,Daniel Villahermosa,es ESP,MF,Espanyol,20,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,de903ae2
601,Asier Villalibre,es ESP,FW,Athletic Club,23,1997,6.1,9,1.48,4,0,1,1,3,0,1,0.16,1,0,0,0,0,0,Matches,57be54ec
602,Gonzalo Villar,es ESP,MF,Getafe,23,1998,3.3,9,2.72,5,0,2,1,1,0,1,0.30,1,0,0,0,0,0,Matches,bdc74a8f
603,Vitolo,es ESP,MF,Getafe,31,1989,2.5,7,2.86,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,db750822
604,Daniel Vivian,es ESP,DF,Athletic Club,22,1999,22.1,10,0.45,6,0,0,3,0,1,1,0.05,1,0,0,0,0,0,Matches,ab7bf91d
605,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,29,1992,10.2,12,1.18,8,1,0,1,1,1,4,0.39,4,0,0,0,0,0,Matches,46a8347f
606,Nikola Vukčević,me MNE,MF,Levante,29,1991,1.3,2,1.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4442fbcd
607,Daniel Wass,dk DEN,DFFW,Atlético Madrid,32,1989,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d83bbc54
608,Daniel Wass,dk DEN,MF,Valencia,32,1989,17.6,26,1.48,13,9,1,1,1,1,1,0.06,1,0,0,0,0,0,Matches,d83bbc54
609,Iñaki Williams,gh GHA,FW,Athletic Club,27,1994,30.9,75,2.43,50,0,7,9,8,1,5,0.16,5,0,0,0,0,0,Matches,6a99e0b1
610,Nico Williams,es ESP,MF,Athletic Club,19,2002,14.9,49,3.30,29,0,10,5,4,1,1,0.07,1,0,0,0,0,0,Matches,afdc14d7
611,Okay Yokuşlu,tr TUR,DFMF,Getafe,27,1994,5.2,2,0.39,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,e49ce451
612,Okay Yokuşlu,tr TUR,DFMF,Celta Vigo,27,1994,1.6,1,0.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e49ce451
613,Joseba Zaldúa,es ESP,DF,Real Sociedad,29,1992,13.0,13,1.00,11,0,0,0,1,1,1,0.08,1,0,0,0,0,0,Matches,5ca20b7a
614,Oier Zarraga,es ESP,MF,Athletic Club,22,1999,13.0,26,2.01,22,0,2,0,2,0,3,0.23,2,0,0,0,1,0,Matches,968a1c2f
615,Luca Zidane,fr FRA,GK,Rayo Vallecano,23,1998,7.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c818c4d9
616,Igor Zubeldia,es ESP,DF,Real Sociedad,24,1997,18.3,7,0.38,4,0,0,1,0,2,1,0.05,1,0,0,0,0,0,Matches,5c7845f6
617,Martín Zubimendi,es ESP,MF,Real Sociedad,22,1999,28.8,38,1.32,29,0,1,1,4,3,1,0.03,1,0,0,0,0,0,Matches,3ee0dd59
