,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,11,0,1,4,6,2,11,0,0,,2,0,8,0,Matches,b4c23f36
38,Marco Asensio,es ESP,FWMF,Real Madrid,25,1996,19.2,1055,11,91,409,562,79,1055,27,40,67.5,19,25,828,115,Matches,45af8a54
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,1679,22,112,678,906,192,1674,51,83,61.4,67,32,1287,263,Matches,7dcf86f6
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12.0,341,5,11,163,168,63,341,4,6,66.7,29,8,259,86,Matches,d5dd5f1f
41,Ludwig Augustinsson,se SWE,DFFW,Sevilla,27,1994,8.8,620,30,217,225,180,11,620,2,2,100.0,12,4,379,17,Matches,9fec8860
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,851,31,282,377,196,23,851,14,19,73.7,15,11,549,30,Matches,5c2b4f07
43,Ezequiel Ávila,ar ARG,FWMF,Osasuna,27,1994,20.8,782,20,90,308,393,52,781,18,32,56.3,48,22,550,83,Matches,253a06b9
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,1031,56,331,608,113,8,1031,22,31,71.0,29,20,511,5,Matches,bfd381b3
45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,144,7,18,56,73,19,144,7,11,63.6,8,4,96,20,Matches,09a9e921
46,Édgar Badía,es ESP,GK,Elche,29,1992,24.0,905,800,901,4,0,0,905,0,0,,1,0,310,0,Matches,e4346678
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0.0,5,0,0,3,2,0,5,0,0,,0,0,4,0,Matches,a98f3cbf
48,Alejandro Balde,es ESP,DFFW,Barcelona,17,2003,2.1,177,2,23,95,59,6,177,1,5,20.0,4,3,142,6,Matches,5ccc9672
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,97,0,12,32,53,13,97,1,4,25.0,5,2,73,8,Matches,a58bb1e1
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,1210,87,363,606,251,10,1210,6,12,50.0,13,12,563,21,Matches,1fe67e86
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35.0,2069,88,531,929,641,37,2069,22,54,40.7,40,20,1095,46,Matches,cee88597
52,Barbero,es ESP,FWMF,Osasuna,22,1998,0.2,18,1,1,6,11,3,18,0,0,,5,2,14,3,Matches,981c1863
53,Barcia,es ESP,DF,Granada,20,2000,0.8,26,1,13,12,1,0,26,0,0,,0,1,8,0,Matches,0c717ae6
54,Enis Bardhi,mk MKD,MFFW,Levante,26,1995,18.9,982,12,124,423,449,40,980,38,74,51.4,52,32,661,73,Matches,cac2537b
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,1032,51,273,632,135,15,1032,9,16,56.3,11,11,700,11,Matches,03049c8c
56,Kike Barja,es ESP,MFFW,Osasuna,24,1997,9.6,516,5,48,213,264,32,516,34,57,59.6,37,28,386,53,Matches,aad53e64
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,635,60,261,272,106,2,635,0,1,0.0,9,1,350,10,Matches,487d9b09
58,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,19,2001,6.1,270,5,43,115,118,25,270,15,37,40.5,23,16,197,47,Matches,200e89e1
59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,1395,199,768,578,51,24,1395,7,8,87.5,12,4,859,4,Matches,b742cc0d
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,67,2,12,46,9,0,67,0,0,,0,0,39,0,Matches,42a028c5
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,664,53,197,393,81,14,664,10,15,66.7,12,11,336,1,Matches,d637fc22
62,Jon Bautista,es ESP,MF,Real Sociedad,26,1995,0.5,15,1,2,8,5,1,15,1,1,100.0,0,1,6,1,Matches,debc6b55
63,Bebé,cv CPV,FW,Rayo Vallecano,31,1990,9.6,487,8,47,181,277,21,487,29,48,60.4,41,19,325,50,Matches,d8712bf9
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22.0,1262,67,359,568,348,43,1262,22,42,52.4,26,8,717,56,Matches,f874dd44
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,2169,62,579,1344,263,5,2169,19,27,70.4,31,20,1506,19,Matches,ed5c5fa3
66,Darío Benedetto,ar ARG,FWMF,Elche,31,1990,6.6,173,0,11,97,68,20,173,10,18,55.6,16,4,127,24,Matches,bef0a7ac
