,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,2,0,0,11,0,0.07,0.34,0.41,0.07,0.41,1.8,1.8,6.7,8.5,0.06,0.23,0.29,0.06,0.29,Matches,4601e194
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches,4bd414c1
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,1,0,0,1,0,0.11,0.34,0.46,0.11,0.46,3.3,3.3,2.0,5.3,0.37,0.23,0.60,0.37,0.60,Matches,a7a9d95a
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,0,0,7,0,0.16,0.00,0.16,0.16,0.16,1.6,1.6,1.1,2.7,0.13,0.09,0.22,0.13,0.22,Matches,036bba5f
17,Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,2,0,0,15,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04,Matches,bb08bce9
18,Iván Alejo,es ESP,MFFW,Cádiz,26,1995,20,11,1065,11.8,2,2,2,0,0,7,0,0.17,0.17,0.34,0.17,0.34,1.3,1.3,2.3,3.6,0.11,0.19,0.30,0.11,0.30,Matches,3d7e48ce
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,2.4,2.3,1.5,3.8,0.09,0.06,0.15,0.09,0.15,Matches,6c811eb7
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,683a1d81
21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.57,0.00,1.57,1.57,1.57,Matches,6f392eb8
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.03,0.01,0.04,0.03,0.04,Matches,3ecc11d8
23,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,1,0,0,2,1,0.08,0.25,0.33,0.08,0.33,0.3,0.3,2.3,2.6,0.02,0.19,0.21,0.02,0.21,Matches,c9e99e49
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.1,0.2,0.04,0.16,0.20,0.04,0.20,Matches,69c5633e
25,Amath,sn SEN,FWMF,Mallorca,25,1996,19,9,884,9.8,0,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,1.5,1.5,0.8,2.3,0.15,0.08,0.23,0.15,0.23,Matches,f3b1d9a2
26,Florin Andone,ro ROU,FW,Cádiz,28,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.13,0.08,0.21,0.13,0.21,Matches,dc008610
27,José Ángel,es ESP,DF,Osasuna,31,1989,23,12,1083,12.0,1,1,1,0,0,2,1,0.08,0.08,0.17,0.08,0.17,0.3,0.3,1.4,1.7,0.03,0.11,0.14,0.03,0.14,Matches,3024e383
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4a5f2032
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,31,31,2663,29.6,0,5,0,0,0,13,0,0.00,0.17,0.17,0.00,0.17,1.7,1.7,2.8,4.5,0.06,0.09,0.15,0.06,0.15,Matches,58afe001
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,34,29,2617,29.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.01,0.01,0.02,0.01,0.02,Matches,27a013f7
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,25,2272,25.2,4,0,4,0,0,6,0,0.16,0.00,0.16,0.16,0.16,1.8,1.8,1.2,3.0,0.07,0.05,0.12,0.07,0.12,Matches,2bef2bca
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,3,2,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,94e01ec6
33,Matias Arezo,uy URU,FWMF,Granada,18,2002,8,1,162,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,1.4,0.54,0.24,0.78,0.54,0.78,Matches,484ebdb0
34,Santiago Arias,co COL,DF,Granada,29,1992,12,4,440,4.9,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.6,0.6,0.5,1.1,0.13,0.09,0.23,0.13,0.23,Matches,fdd60087
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,14,5,469,5.2,1,0,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,0.3,0.3,0.1,0.4,0.06,0.01,0.07,0.06,0.07,Matches,759d8dd7
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9f0ea33f
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.27,0.31,0.58,0.27,0.58,Matches,b4c23f36
38,Marco Asensio,es ESP,FWMF,Real Madrid,25,1996,31,19,1731,19.2,10,0,10,0,0,2,0,0.52,0.00,0.52,0.52,0.52,8.4,8.4,3.0,11.4,0.44,0.16,0.59,0.44,0.59,Matches,45af8a54
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,36,3087,34.3,18,5,15,3,5,9,0,0.52,0.15,0.67,0.44,0.58,14.8,10.8,6.7,17.5,0.43,0.20,0.63,0.32,0.51,Matches,7dcf86f6
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,1082,12.0,11,1,11,0,0,0,0,0.91,0.08,1.00,0.91,1.00,7.0,7.0,1.0,8.0,0.58,0.09,0.67,0.58,0.67,Matches,d5dd5f1f
41,Ludwig Augustinsson,se SWE,DFFW,Sevilla,27,1994,19,9,793,8.8,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,0.9,1.2,0.04,0.10,0.14,0.04,0.14,Matches,9fec8860
